Date,Sales,GrowthRate
30-06-2021,353,-0.089506173
30-09-2021,361,-0.02266289
31-12-2021,342,0.052631579
31-03-2022,359,-0.049707602
30-06-2022,357,0.005571031
30-09-2022,350,0.019607843
31-12-2022,351,-0.002857143
31-03-2023,414,-0.179487179
30-06-2023,426,-0.028985507
30-09-2023,415,0.025821596
31-12-2023,401,0.03373494
31-03-2024,435,-0.08478803
30-06-2024,423,0.027586207
30-09-2024,431,-0.01891253
31-12-2024,416,0.034802784
31-03-2025,432,-0.038461538
30-06-2025,430,0.00462963
30-09-2025,462,-0.074418605
31-12-2025,474,-0.025974026
