Date,Sales,GrowthRate
30-06-2013,153.303,-0.08286243
30-09-2013,153.55,-0.001611188
31-12-2013,166.224,-0.082539889
31-03-2014,168.239,-0.012122197
30-06-2014,179.735,-0.068331362
30-09-2014,178.138,0.008885303
31-12-2014,186.437,-0.046587477
31-03-2015,187.029,-0.003175335
30-06-2015,200.817,-0.073721188
30-09-2015,198.292,0.012573637
31-12-2015,214.048,-0.079458576
31-03-2016,219.698,-0.026395949
30-06-2016,243.436,-0.108048321
30-09-2016,243.668,-0.000953023
31-12-2016,251.525,-0.032244694
31-03-2017,282.399,-0.122747242
30-06-2017,321.036,-0.136817057
30-09-2017,341.611,-0.064089386
31-12-2017,364.2,-0.06612492
31-03-2018,385.505,-0.058498078
30-06-2018,433.241,-0.123827188
30-09-2018,427.087,0.014204565
31-12-2018,445.6,-0.04334714
31-03-2019,469.205,-0.052973519
30-06-2019,496.702,-0.058603382
30-09-2019,516.265,-0.039385789
31-12-2019,543.578,-0.052905
31-03-2020,481.6,0.114018595
30-06-2020,278.511,0.421696429
30-09-2020,620.8,-1.228996341
31-12-2020,700.743,-0.128774162
31-03-2021,753.269,-0.074957581
30-06-2021,840.959,-0.116412596
30-09-2021,837.6,0.003994249
31-12-2021,815.272,0.026657116
31-03-2022,809.7,0.006834529
30-06-2022,798.4,0.013955786
30-09-2022,732.837,0.082117986
31-12-2022,731.654,0.001614274
31-03-2023,789.804,-0.079477458
30-06-2023,832.7,-0.054312209
30-09-2023,794.939,0.045347664
31-12-2023,781.912,0.016387421
31-03-2024,817.251,-0.045195623
30-06-2024,831.7,-0.017680003
30-09-2024,786.8,0.053985812
31-12-2024,794.349,-0.00959456
31-03-2025,796.843,-0.003139678
30-06-2025,804.617,-0.009756
30-09-2025,805.799,-0.001469022
31-12-2025,838.145,-0.040141524
