Date,Sales,GrowthRate
30-06-2013,10.525,0.123500999
30-09-2013,10.956,-0.040950119
31-12-2013,12.068,-0.101496897
31-03-2014,12.407,-0.028090819
30-06-2014,12.796,-0.031353268
30-09-2014,11.738,0.082682088
31-12-2014,12.163,-0.03620719
31-03-2015,11.057,0.090931514
30-06-2015,8.671,0.215790902
30-09-2015,9.344,-0.077615039
31-12-2015,16.228,-0.736729452
31-03-2016,19.022,-0.172171555
30-06-2016,25.926,-0.362948165
30-09-2016,34.921,-0.346949009
31-12-2016,41.678,-0.193493886
31-03-2017,27.942,0.329574356
30-06-2017,35.446,-0.268556295
30-09-2017,43.656,-0.231619929
31-12-2017,57.1,-0.307953088
31-03-2018,51.419,0.099492119
30-06-2018,57.018,-0.10888971
30-09-2018,78.202,-0.371531797
31-12-2018,88.4,-0.130405872
31-03-2019,79.766,0.097669683
30-06-2019,103.995,-0.303750972
30-09-2019,91.076,0.124227126
31-12-2019,106.209,-0.166157934
31-03-2020,69.4,0.346571383
30-06-2020,53.973,0.222291066
30-09-2020,113.4,-1.101050525
31-12-2020,133.777,-0.179691358
31-03-2021,141.502,-0.057745352
30-06-2021,168.849,-0.193262286
30-09-2021,178.3,-0.055973088
31-12-2021,216.849,-0.216203029
31-03-2022,163.5,0.246019119
30-06-2022,171.2,-0.047094801
30-09-2022,157.511,0.079959112
31-12-2022,169.861,-0.078407222
31-03-2023,153.343,0.097244217
30-06-2023,169.5,-0.105365097
30-09-2023,165.275,0.024926254
31-12-2023,174.814,-0.057715928
31-03-2024,180.18,-0.030695482
30-06-2024,196.8,-0.092241092
30-09-2024,191,0.029471545
31-12-2024,200.92,-0.051937173
31-03-2025,182.419,0.092081425
30-06-2025,207.832,-0.139311146
30-09-2025,189.893,0.086314908
31-12-2025,209.416,-0.10281053
