Date,Sales,GrowthRate
30-06-2013,18.529,-0.066049134
30-09-2013,16.5,0.109504021
31-12-2013,17.363,-0.05230303
31-03-2014,17.123,0.013822496
30-06-2014,18.649,-0.089119897
30-09-2014,16.205,0.131052603
31-12-2014,17.943,-0.107250849
31-03-2015,18.18,-0.013208494
30-06-2015,19.386,-0.066336634
30-09-2015,15.611,0.194728154
31-12-2015,17.524,-0.122541797
31-03-2016,4.973,0.716217759
30-06-2016,3.963,0.203096722
30-09-2016,1.522,0.615947515
31-12-2016,2.603,-0.710249671
31-03-2017,4.541,-0.744525547
30-06-2017,2.502,0.44902004
30-09-2017,2.437,0.025979217
31-12-2017,5.334,-1.188756668
31-03-2018,2.106,0.605174353
30-06-2018,1.633,0.224596391
30-09-2018,2.006,-0.228413962
31-12-2018,2.293,-0.143070788
31-03-2019,1.6,0.30222416
30-06-2019,1.226,0.23375
30-09-2019,1.15,0.061990212
31-12-2019,1.209,-0.051304348
31-03-2020,1.045,0.135649297
30-06-2020,0.795,0.23923445
30-09-2020,1.111,-0.397484277
31-12-2020,0.792,0.287128713
31-03-2021,0.405,0.488636364
30-06-2021,2.955,-6.296296296
30-09-2021,7.015,-1.37394247
31-12-2021,8.926,-0.272416251
31-03-2022,3.899,0.563186198
30-06-2022,6.267,-0.607335214
30-09-2022,5.038,0.19610659
31-12-2022,8.966,-0.779674474
31-03-2023,9.141,-0.01951818
30-06-2023,9.256,-0.01258068
30-09-2023,8.166,0.117761452
31-12-2023,10.348,-0.267205486
31-03-2024,8.632,0.165829146
30-06-2024,9.167,-0.061978684
30-09-2024,8.911,0.027926257
31-12-2024,13.585,-0.524520256
31-03-2025,10.068,0.25888848
30-06-2025,10.518,-0.044696067
30-09-2025,12.127,-0.152975851
31-12-2025,15.3,-0.261647563
