Date,Sales,GrowthRate
30-06-2013,32.491,0.017270583
30-09-2013,33.696,-0.037087193
31-12-2013,35.702,-0.059532289
31-03-2014,32.05,0.102291188
30-06-2014,34.518,-0.07700468
30-09-2014,34.808,-0.008401414
31-12-2014,35.684,-0.025166628
31-03-2015,30.467,0.146199978
30-06-2015,27.247,0.105688122
30-09-2015,27.385,-0.005064778
31-12-2015,29.479,-0.076465218
31-03-2016,29.233,0.008344924
30-06-2016,28.279,0.032634352
30-09-2016,25.189,0.109268362
31-12-2016,24.487,0.027869308
31-03-2017,23.437,0.042879895
30-06-2017,21.877,0.06656142
30-09-2017,20.662,0.055537779
31-12-2017,20.949,-0.013890233
31-03-2018,19.201,0.083440737
30-06-2018,20.409,-0.06291339
30-09-2018,20.996,-0.028761821
31-12-2018,23.05,-0.097828158
31-03-2019,22.955,0.004121475
30-06-2019,26.093,-0.136702244
30-09-2019,28.051,-0.075039283
31-12-2019,31.143,-0.110227799
31-03-2020,29.07,0.066563915
30-06-2020,28.834,0.008118335
30-09-2020,40.052,-0.389054588
31-12-2020,43.123,-0.076675322
31-03-2021,43.716,-0.013751362
30-06-2021,59.294,-0.356345503
30-09-2021,55.865,0.057830472
31-12-2021,65.036,-0.164163609
31-03-2022,67.034,-0.030721447
30-06-2022,77.884,-0.161858162
30-09-2022,84.801,-0.088811566
31-12-2022,96.978,-0.143595005
31-03-2023,99.969,-0.030842047
30-06-2023,107.664,-0.076973862
30-09-2023,110.096,-0.022588795
31-12-2023,127.622,-0.159188345
31-03-2024,129.845,-0.017418627
30-06-2024,136.406,-0.050529477
30-09-2024,141.808,-0.039602364
31-12-2024,163.208,-0.15090827
31-03-2025,159.112,0.025096809
30-06-2025,175.026,-0.100017598
30-09-2025,184.376,-0.053420635
31-12-2025,197.628,-0.071874864
