Date,Sales,GrowthRate
30-06-2013,51.02,-0.011438654
30-09-2013,50.196,0.016150529
31-12-2013,53.065,-0.057155949
31-03-2014,49.173,0.073344012
30-06-2014,53.167,-0.081223436
30-09-2014,51.013,0.040513853
31-12-2014,53.627,-0.05124184
31-03-2015,48.647,0.092863669
30-06-2015,46.633,0.041400292
30-09-2015,42.996,0.07799198
31-12-2015,47.003,-0.093194716
31-03-2016,34.206,0.272259217
30-06-2016,32.242,0.057416827
30-09-2016,26.711,0.17154643
31-12-2016,27.09,-0.014188911
31-03-2017,27.978,-0.032779623
30-06-2017,24.379,0.128636786
30-09-2017,23.099,0.052504204
31-12-2017,26.283,-0.137841465
31-03-2018,21.307,0.189323898
30-06-2018,22.042,-0.034495706
30-09-2018,23.002,-0.043553217
31-12-2018,25.343,-0.101773759
31-03-2019,24.555,0.031093399
30-06-2019,27.319,-0.112563633
30-09-2019,29.201,-0.068889784
31-12-2019,29.201,0
31-03-2020,30.115,-0.031300298
30-06-2020,29.629,0.016138137
30-09-2020,41.163,-0.389280772
31-12-2020,43.915,-0.066856157
31-03-2021,44.121,-0.00469088
30-06-2021,62.249,-0.410870107
30-09-2021,62.88,-0.010136709
31-12-2021,73.962,-0.176240458
31-03-2022,70.933,0.040953463
30-06-2022,84.151,-0.186344861
30-09-2022,89.839,-0.06759278
31-12-2022,105.944,-0.17926513
31-03-2023,109.11,-0.029883712
30-06-2023,116.92,-0.07157914
30-09-2023,118.262,-0.011477934
31-12-2023,137.97,-0.166646936
31-03-2024,138.477,-0.003674712
30-06-2024,145.573,-0.051243167
30-09-2024,150.719,-0.035349962
31-12-2024,176.793,-0.172997432
31-03-2025,169.18,0.04306166
30-06-2025,185.544,-0.096725381
30-09-2025,196.503,-0.059064157
31-12-2025,212.928,-0.08358651
