Date,Sales,GrowthRate
30-06-2013,189,-0.227272727
30-09-2013,213,-0.126984127
31-12-2013,184,0.136150235
31-03-2014,210,-0.141304348
30-06-2014,210,0
30-09-2014,253,-0.204761905
31-12-2014,224,0.114624506
31-03-2015,284,-0.267857143
30-06-2015,276,0.028169014
30-09-2015,325,-0.177536232
31-12-2015,274,0.156923077
31-03-2016,328,-0.197080292
30-06-2016,316,0.036585366
30-09-2016,350,-0.107594937
31-12-2016,221,0.368571429
31-03-2017,236,-0.067873303
30-06-2017,235,0.004237288
30-09-2017,232,0.012765957
31-12-2017,207,0.107758621
31-03-2018,228,-0.101449275
30-06-2018,244,-0.070175439
30-09-2018,247,-0.012295082
31-12-2018,231,0.064777328
31-03-2019,260,-0.125541126
30-06-2019,257,0.011538462
30-09-2019,243,0.054474708
31-12-2019,256,-0.053497942
31-03-2020,273,-0.06640625
30-06-2020,258,0.054945055
30-09-2020,273,-0.058139535
31-12-2020,253,0.073260073
31-03-2021,248,0.019762846
30-06-2021,240,0.032258065
30-09-2021,256,-0.066666667
31-12-2021,245,0.04296875
31-03-2022,294,-0.2
30-06-2022,302,-0.027210884
30-09-2022,285,0.056291391
31-12-2022,273,0.042105263
31-03-2023,264,0.032967033
30-06-2023,271,-0.026515152
30-09-2023,285,-0.051660517
31-12-2023,268,0.059649123
31-03-2024,287,-0.070895522
30-06-2024,304,-0.059233449
30-09-2024,286,0.059210526
31-12-2024,318,-0.111888112
31-03-2025,326,-0.025157233
30-06-2025,304,0.067484663
30-09-2025,326,-0.072368421
31-12-2025,318,0.024539877
