Date,Sales,GrowthRate
30-06-2013,151,-0.04137931
30-09-2013,149,0.013245033
31-12-2013,129,0.134228188
31-03-2014,160,-0.240310078
30-06-2014,155,0.03125
30-09-2014,152,0.019354839
31-12-2014,136,0.105263158
31-03-2015,166,-0.220588235
30-06-2015,174,-0.048192771
30-09-2015,175,-0.005747126
31-12-2015,188,-0.074285714
31-03-2016,204,-0.085106383
30-06-2016,201,0.014705882
30-09-2016,223,-0.109452736
31-12-2016,186,0.165919283
31-03-2017,217,-0.166666667
30-06-2017,212,0.023041475
30-09-2017,219,-0.033018868
31-12-2017,188,0.141552511
31-03-2018,212,-0.127659574
30-06-2018,211,0.004716981
30-09-2018,233,-0.104265403
31-12-2018,194,0.167381974
31-03-2019,242,-0.24742268
30-06-2019,221,0.08677686
30-09-2019,231,-0.045248869
31-12-2019,214,0.073593074
31-03-2020,230,-0.074766355
30-06-2020,150,0.347826087
30-09-2020,202,-0.346666667
31-12-2020,202,0
31-03-2021,206,-0.01980198
30-06-2021,210,-0.019417476
30-09-2021,230,-0.095238095
31-12-2021,221,0.039130435
31-03-2022,240,-0.085972851
30-06-2022,264,-0.1
30-09-2022,269,-0.018939394
31-12-2022,242,0.100371747
31-03-2023,262,-0.082644628
30-06-2023,240,0.083969466
30-09-2023,251,-0.045833333
31-12-2023,238,0.051792829
31-03-2024,273,-0.147058824
30-06-2024,266,0.025641026
30-09-2024,269,-0.011278195
31-12-2024,282,-0.048327138
31-03-2025,299,-0.060283688
30-06-2025,287,0.040133779
30-09-2025,299,-0.041811847
31-12-2025,282,0.056856187
