Date,Sales,GrowthRate
31-12-2012,32,0.9
31-03-2013,451,-13.09375
30-06-2013,415,0.079822616
30-09-2013,368,0.113253012
31-12-2013,217,0.410326087
31-03-2014,564,-1.599078341
30-06-2014,504,0.106382979
30-09-2014,530,-0.051587302
31-12-2014,263,0.503773585
31-03-2015,659,-1.505703422
30-06-2015,675,-0.024279211
30-09-2015,522,0.226666667
31-12-2015,535,-0.024904215
31-03-2016,358,0.330841121
30-06-2016,319,0.108938547
30-09-2016,742,-1.326018809
31-12-2016,733,0.01212938
31-03-2017,595,0.188267394
30-06-2017,867,-0.457142857
30-09-2017,1214,-0.400230681
31-12-2017,1257,-0.035420099
31-03-2018,1159,0.077963405
30-06-2018,1064,0.081967213
30-09-2018,1778,-0.671052632
31-12-2018,2538,-0.427446569
31-03-2019,2334,0.080378251
30-06-2019,1514,0.351328192
30-09-2019,2468,-0.63011889
31-12-2019,2443,0.01012966
31-03-2020,1919,0.214490381
30-06-2020,953,0.503387181
30-09-2020,2547,-1.672612802
31-12-2020,2108,0.172359639
31-03-2021,2531,-0.200664137
30-06-2021,2585,-0.021335441
30-09-2021,3912,-0.513346228
31-12-2021,3775,0.03502045
31-03-2022,3682,0.024635762
30-06-2022,3582,0.027159153
30-09-2022,5204,-0.452819654
31-12-2022,4685,0.099730976
31-03-2023,5347,-0.141302028
30-06-2023,1738,0.67495792
30-09-2023,6861,-2.947640967
31-12-2023,5321,0.224457076
31-03-2024,5407,-0.016162375
30-06-2024,6444,-0.191788422
30-09-2024,9303,-0.443668529
31-12-2024,7243,0.221433946
31-03-2025,6555,0.094988265
30-06-2025,5182,0.209458429
30-09-2025,9598,-0.852180625
31-12-2025,9378,0.022921442
