Date,Sales,GrowthRate
31-12-2012,270,0.46
31-03-2013,893,-2.307407407
30-06-2013,769,0.138857783
30-09-2013,943,-0.22626788
31-12-2013,157,0.833510074
31-03-2014,1808,-10.51592357
30-06-2014,1190,0.341814159
30-09-2014,1371,-0.15210084
31-12-2014,323,0.764405543
31-03-2015,2437,-6.544891641
30-06-2015,1399,0.425933525
30-09-2015,1642,-0.173695497
31-12-2015,1004,0.388550548
31-03-2016,2216,-1.207171315
30-06-2016,1410,0.363718412
30-09-2016,1530,-0.085106383
31-12-2016,1468,0.040522876
31-03-2017,2065,-0.406675749
30-06-2017,1953,0.054237288
30-09-2017,2278,-0.16641065
31-12-2017,2483,-0.08999122
31-03-2018,2809,-0.131292791
30-06-2018,1994,0.290138839
30-09-2018,2779,-0.393681043
31-12-2018,2118,0.237855344
31-03-2019,2607,-0.230878187
30-06-2019,2746,-0.05331799
30-09-2019,2887,-0.051347414
31-12-2019,2271,0.213370281
31-03-2020,2704,-0.190664905
30-06-2020,2281,0.156434911
30-09-2020,2421,-0.061376589
31-12-2020,2346,0.030978934
31-03-2021,3196,-0.362318841
30-06-2021,3139,0.017834793
30-09-2021,3399,-0.082828926
31-12-2021,4118,-0.211532804
31-03-2022,3987,0.031811559
30-06-2022,4937,-0.238274392
30-09-2022,4389,0.110998582
31-12-2022,4254,0.030758715
31-03-2023,5329,-0.252703338
30-06-2023,4771,0.104710077
30-09-2023,6682,-0.400544959
31-12-2023,4561,0.317419934
31-03-2024,5507,-0.207410656
30-06-2024,5371,0.024695842
30-09-2024,5716,-0.064233848
31-12-2024,5839,-0.021518544
31-03-2025,6516,-0.115944511
30-06-2025,6077,0.067372621
30-09-2025,7608,-0.25193352
31-12-2025,6310,0.170609884
