Date,Sales,GrowthRate
31-12-2012,1749,0.247741935
31-03-2013,3039,-0.737564322
30-06-2013,2232,0.265547878
30-09-2013,2675,-0.198476703
31-12-2013,2020,0.244859813
31-03-2014,3789,-0.875742574
30-06-2014,2495,0.341514912
30-09-2014,2888,-0.15751503
31-12-2014,2694,0.067174515
31-03-2015,3853,-0.430215293
30-06-2015,3359,0.128211783
30-09-2015,3333,0.007740399
31-12-2015,2816,0.155115512
31-03-2016,4363,-0.549360795
30-06-2016,3457,0.207655283
30-09-2016,3361,0.027769743
31-12-2016,3717,-0.105920857
31-03-2017,3785,-0.018294323
30-06-2017,3728,0.015059445
30-09-2017,3791,-0.016899142
31-12-2017,4171,-0.100237404
31-03-2018,3966,0.049148885
30-06-2018,3772,0.048915784
30-09-2018,3639,0.035259809
31-12-2018,4019,-0.104424292
31-03-2019,3829,0.047275442
30-06-2019,3853,-0.006267955
30-09-2019,3767,0.02232027
31-12-2019,3954,-0.049641625
31-03-2020,3823,0.033131007
30-06-2020,3194,0.164530473
30-09-2020,3535,-0.10676268
31-12-2020,3424,0.031400283
31-03-2021,3933,-0.148656542
30-06-2021,3683,0.063564709
30-09-2021,3375,0.083627478
31-12-2021,3878,-0.149037037
31-03-2022,3603,0.070912842
30-06-2022,3698,-0.026366916
30-09-2022,3144,0.149810708
31-12-2022,3456,-0.099236641
31-03-2023,3520,-0.018518519
30-06-2023,3545,-0.007102273
30-09-2023,3404,0.03977433
31-12-2023,3843,-0.128965922
31-03-2024,3656,0.048659901
30-06-2024,3824,-0.04595186
30-09-2024,3762,0.016213389
31-12-2024,4104,-0.090909091
31-03-2025,4101,0.000730994
30-06-2025,4107,-0.001463058
30-09-2025,4012,0.023131239
31-12-2025,4295,-0.070538385
