Date,Sales,GrowthRate
31-12-2012,58,0.804713805
31-03-2013,495,-7.534482759
30-06-2013,314,0.365656566
30-09-2013,389,-0.238853503
31-12-2013,177,0.544987147
31-03-2014,638,-2.604519774
30-06-2014,442,0.307210031
30-09-2014,538,-0.21719457
31-12-2014,266,0.505576208
31-03-2015,993,-2.733082707
30-06-2015,641,0.35448137
30-09-2015,705,-0.099843994
31-12-2015,439,0.377304965
31-03-2016,1125,-1.562642369
30-06-2016,747,0.336
30-09-2016,766,-0.025435074
31-12-2016,876,-0.143603133
31-03-2017,873,0.003424658
30-06-2017,935,-0.071019473
30-09-2017,1237,-0.322994652
31-12-2017,1212,0.020210186
31-03-2018,948,0.217821782
30-06-2018,1061,-0.119198312
30-09-2018,1480,-0.394910462
31-12-2018,1378,0.068918919
31-03-2019,1258,0.087082729
30-06-2019,1242,0.012718601
30-09-2019,1597,-0.285829308
31-12-2019,1706,-0.068252974
31-03-2020,1221,0.284290739
30-06-2020,985,0.193284193
30-09-2020,1360,-0.38071066
31-12-2020,1404,-0.032352941
31-03-2021,1795,-0.278490028
30-06-2021,1749,0.025626741
30-09-2021,1929,-0.102915952
31-12-2021,2147,-0.113011923
31-03-2022,2067,0.037261295
30-06-2022,2219,-0.073536526
30-09-2022,2747,-0.23794502
31-12-2022,2969,-0.080815435
31-03-2023,2709,0.087571573
30-06-2023,2731,-0.008121078
30-09-2023,3523,-0.290003662
31-12-2023,3568,-0.012773205
31-03-2024,3498,0.019618834
30-06-2024,3116,0.10920526
30-09-2024,3978,-0.276636714
31-12-2024,4686,-0.177978884
31-03-2025,3883,0.171361502
30-06-2025,3682,0.0517641
30-09-2025,4433,-0.203965236
31-12-2025,4720,-0.06474171
