Date,Sales,GrowthRate
31-12-2012,603,-0.566233766
31-03-2013,1045,-0.733001658
30-06-2013,858,0.178947368
30-09-2013,922,-0.074592075
31-12-2013,340,0.631236443
31-03-2014,1382,-3.064705882
30-06-2014,868,0.371924747
30-09-2014,1096,-0.262672811
31-12-2014,629,0.426094891
31-03-2015,1850,-1.941176471
30-06-2015,1109,0.400540541
30-09-2015,1703,-0.535617674
31-12-2015,459,0.730475631
31-03-2016,2672,-4.821350763
30-06-2016,1262,0.527694611
30-09-2016,1540,-0.220285261
31-12-2016,1476,0.041558442
31-03-2017,1618,-0.096205962
30-06-2017,1369,0.153893696
30-09-2017,1789,-0.30679328
31-12-2017,69,0.961430967
31-03-2018,244,-2.536231884
30-06-2018,-1104,5.524590164
30-09-2018,1787,2.61865942
31-12-2018,1798,-0.006155568
31-03-2019,2800,-0.557285873
30-06-2019,2717,0.029642857
30-09-2019,2450,0.098270151
31-12-2019,2745,-0.120408163
31-03-2020,2626,0.043351548
30-06-2020,1858,0.292460015
30-09-2020,2808,-0.511302476
31-12-2020,2466,0.121794872
31-03-2021,2810,-0.139497161
30-06-2021,3227,-0.148398577
30-09-2021,3285,-0.01797335
31-12-2021,3325,-0.01217656
31-03-2022,3464,-0.041804511
30-06-2022,3961,-0.143475751
30-09-2022,4251,-0.073213835
31-12-2022,4594,-0.080686897
31-03-2023,4476,0.025685677
30-06-2023,4690,-0.047810545
30-09-2023,5119,-0.091471215
31-12-2023,5485,-0.07149834
31-03-2024,5169,0.057611668
30-06-2024,5293,-0.023989166
30-09-2024,5445,-0.028717174
31-12-2024,5685,-0.044077135
31-03-2025,5903,-0.038346526
30-06-2025,6010,-0.018126376
30-09-2025,6016,-0.000998336
31-12-2025,6293,-0.046043883
