Date,Sales,GrowthRate
30-06-2013,0.343,-0.72361809
30-09-2013,0.248,0.27696793
31-12-2013,0.37,-0.491935484
31-03-2014,0.443,-0.197297297
30-06-2014,0.404,0.088036117
30-09-2014,0.543,-0.344059406
31-12-2014,0.768,-0.414364641
31-03-2015,0.671,0.126302083
30-06-2015,0.789,-0.17585693
30-09-2015,0.598,0.24207858
31-12-2015,0.81,-0.35451505
31-03-2016,0.865,-0.067901235
30-06-2016,1.024,-0.183815029
30-09-2016,0.994,0.029296875
31-12-2016,1.103,-0.109657948
31-03-2017,1.395,-0.264732548
30-06-2017,1.777,-0.273835125
30-09-2017,1.653,0.069780529
31-12-2017,2.426,-0.467634604
31-03-2018,1.798,0.258862325
30-06-2018,2.424,-0.348164627
30-09-2018,2.318,0.043729373
31-12-2018,2.448,-0.05608283
31-03-2019,2.454,-0.00245098
30-06-2019,2.977,-0.213121434
30-09-2019,2.532,0.149479342
31-12-2019,3.513,-0.387440758
31-03-2020,3.062,0.128380302
30-06-2020,2.271,0.25832789
30-09-2020,3.445,-0.516952884
31-12-2020,3.575,-0.037735849
31-03-2021,3.258,0.088671329
30-06-2021,4.194,-0.287292818
30-09-2021,4.373,-0.042680019
31-12-2021,3.709,0.151840842
31-03-2022,4.139,-0.115934214
30-06-2022,5.666,-0.368929693
30-09-2022,5.224,0.078009178
31-12-2022,4.796,0.081929556
31-03-2023,5.924,-0.235195997
30-06-2023,6.479,-0.093686698
30-09-2023,6.466,0.002006482
31-12-2023,6.666,-0.030931024
31-03-2024,7.649,-0.147464746
30-06-2024,8.555,-0.118446856
30-09-2024,8.58,-0.002922268
31-12-2024,9.286,-0.082284382
31-03-2025,9.674,-0.04178333
30-06-2025,10.802,-0.116601199
30-09-2025,10.168,0.058692835
31-12-2025,11.409,-0.122049567
