Date,Sales,GrowthRate
30-06-2013,1.253,0.06071964
30-09-2013,1.168,0.067837191
31-12-2013,1.599,-0.369006849
31-03-2014,2.003,-0.252657911
30-06-2014,1.966,0.018472292
30-09-2014,1.804,0.082400814
31-12-2014,2.108,-0.168514412
31-03-2015,1.968,0.066413662
30-06-2015,1.858,0.055894309
30-09-2015,1.945,-0.046824543
31-12-2015,2.193,-0.127506427
31-03-2016,2.164,0.013223894
30-06-2016,2.186,-0.010166359
30-09-2016,1.533,0.298719122
31-12-2016,2.182,-0.423352903
31-03-2017,1.958,0.102658112
30-06-2017,2.135,-0.090398366
30-09-2017,1.766,0.172833724
31-12-2017,2.148,-0.216308041
31-03-2018,1.792,0.165735568
30-06-2018,2.66,-0.484375
30-09-2018,2.355,0.114661654
31-12-2018,2.369,-0.005944798
31-03-2019,2.129,0.101308569
30-06-2019,1.935,0.091122593
30-09-2019,2.058,-0.063565891
31-12-2019,2.227,-0.082118562
31-03-2020,1.545,0.306241581
30-06-2020,1.109,0.282200647
30-09-2020,1.692,-0.525698828
31-12-2020,1.825,-0.078605201
31-03-2021,1.274,0.301917808
30-06-2021,1.575,-0.236263736
30-09-2021,1.849,-0.173968254
31-12-2021,1.711,0.074634938
31-03-2022,1.533,0.104032729
30-06-2022,1.271,0.170906719
30-09-2022,1.445,-0.136900079
31-12-2022,1.737,-0.202076125
31-03-2023,1.867,-0.074841681
30-06-2023,1.375,0.263524371
30-09-2023,1.578,-0.147636364
31-12-2023,1.85,-0.172370089
31-03-2024,2.114,-0.142702703
30-06-2024,1.764,0.165562914
30-09-2024,1.681,0.047052154
31-12-2024,2.545,-0.513979774
31-03-2025,2.013,0.209037328
30-06-2025,2.372,-0.178340785
30-09-2025,1.862,0.215008432
31-12-2025,2.124,-0.140708915
