Date,Sales,GrowthRate
30-06-2013,3.379,-0.037139349
30-09-2013,2.898,0.142349808
31-12-2013,3.529,-0.21773637
31-03-2014,3.971,-0.125247946
30-06-2014,4.054,-0.020901536
30-09-2014,4.15,-0.023680316
31-12-2014,4.27,-0.028915663
31-03-2015,4.216,0.01264637
30-06-2015,4.088,0.030360531
30-09-2015,4.092,-0.000978474
31-12-2015,3.891,0.049120235
31-03-2016,4.472,-0.149318941
30-06-2016,5.438,-0.216010733
30-09-2016,5.152,0.052592865
31-12-2016,5.127,0.004852484
31-03-2017,4.59,0.104739614
30-06-2017,5.674,-0.236165577
30-09-2017,5.255,0.073845612
31-12-2017,5.199,0.010656518
31-03-2018,4.909,0.055779958
30-06-2018,5.836,-0.18883683
30-09-2018,5.437,0.068368746
31-12-2018,4.936,0.092146404
31-03-2019,6.3,-0.276337115
30-06-2019,6.792,-0.078095238
30-09-2019,5.85,0.13869258
31-12-2019,6.003,-0.026153846
31-03-2020,5.115,0.147926037
30-06-2020,3.744,0.268035191
30-09-2020,4.907,-0.310630342
31-12-2020,4.889,0.003668229
31-03-2021,4.434,0.093066067
30-06-2021,5.513,-0.243346865
30-09-2021,6.699,-0.21512788
31-12-2021,6.577,0.018211673
31-03-2022,6.492,0.012923825
30-06-2022,6.213,0.04297597
30-09-2022,6.68,-0.075164977
31-12-2022,7.424,-0.111377246
31-03-2023,7.286,0.018588362
30-06-2023,7.722,-0.059840791
30-09-2023,8.007,-0.036907537
31-12-2023,8.468,-0.057574622
31-03-2024,7.902,0.066839868
30-06-2024,9.17,-0.160465705
30-09-2024,8.607,0.061395856
31-12-2024,9.014,-0.047287092
31-03-2025,8.995,0.002107832
30-06-2025,10.349,-0.150528071
30-09-2025,10.852,-0.04860373
31-12-2025,10.844,0.000737191
