Date,Sales,GrowthRate
30-06-2014,0.187,0.348432056
30-09-2014,0.121,0.352941176
31-12-2014,0.172,-0.421487603
31-03-2015,0.108,0.372093023
30-06-2015,0.104,0.037037037
30-09-2015,0.123,-0.182692308
31-12-2015,0.089,0.276422764
31-03-2016,0.167,-0.876404494
30-06-2016,0.152,0.089820359
30-09-2016,0.086,0.434210526
31-12-2016,0.079,0.081395349
31-03-2017,0.062,0.215189873
30-06-2017,0.111,-0.790322581
30-09-2017,0.082,0.261261261
31-12-2017,0.098,-0.195121951
31-03-2018,0.059,0.397959184
30-06-2018,0.048,0.186440678
30-09-2018,0.067,-0.395833333
31-12-2018,0.028,0.582089552
31-03-2019,0.079,-1.821428571
30-06-2019,0.037,0.53164557
30-09-2019,0.051,-0.378378378
31-12-2019,0.041,0.196078431
31-03-2020,0.03,0.268292683
30-06-2020,0.036,-0.2
30-09-2020,0.012,0.666666667
31-12-2020,0.03,-1.5
31-03-2021,0,1
30-06-2021,0.024,#DIV/0!
30-09-2021,0.002,0.916666667
31-12-2021,0.006,-2
31-03-2022,0.14,-22.33333333
30-06-2022,0.114,0.185714286
30-09-2022,0.121,-0.061403509
31-12-2022,0.183,-0.512396694
31-03-2023,0.228,-0.245901639
30-06-2023,0.439,-0.925438596
30-09-2023,0.547,-0.246013667
31-12-2023,0.799,-0.460694698
31-03-2024,0.937,-0.172715895
30-06-2024,1.241,-0.324439701
30-09-2024,1.59,-0.281224819
31-12-2024,1.856,-0.167295597
31-03-2025,1.789,0.036099138
30-06-2025,2.033,-0.136389044
30-09-2025,2.08,-0.023118544
31-12-2025,1.79,0.139423077
