Date,Sales,GrowthRate
30-06-2013,2.789,-0.168901928
30-09-2013,2.709,0.028684116
31-12-2013,2.936,-0.083794758
31-03-2014,3.62,-0.232970027
30-06-2014,3.951,-0.091436464
30-09-2014,4.285,-0.084535561
31-12-2014,4.819,-0.12462077
31-03-2015,5.503,-0.141938161
30-06-2015,6.286,-0.142286026
30-09-2015,5.927,0.05711104
31-12-2015,6.661,-0.123840054
31-03-2016,6.848,-0.028073863
30-06-2016,7.348,-0.073014019
30-09-2016,7.721,-0.050762112
31-12-2016,8.404,-0.088460044
31-03-2017,8.702,-0.035459305
30-06-2017,9.463,-0.087451161
30-09-2017,8.471,0.104829335
31-12-2017,10.645,-0.256640302
31-03-2018,11.797,-0.108219822
30-06-2018,13.101,-0.110536577
30-09-2018,13.487,-0.0294634
31-12-2018,14.506,-0.075554237
31-03-2019,15.67,-0.080242658
30-06-2019,16.498,-0.052839821
30-09-2019,16.907,-0.024790884
31-12-2019,19.091,-0.129177264
31-03-2020,17.419,0.087580535
30-06-2020,13.021,0.252482921
30-09-2020,17.43,-0.338606866
31-12-2020,19.111,-0.096442915
31-03-2021,20.587,-0.077233007
30-06-2021,25.156,-0.221936173
30-09-2021,23.401,0.069764668
31-12-2021,25.424,-0.086449297
31-03-2022,26.669,-0.048969478
30-06-2022,28.831,-0.081067907
30-09-2022,27.62,0.042003399
31-12-2022,29.435,-0.065713251
31-03-2023,32.342,-0.09875998
30-06-2023,33.941,-0.049440356
30-09-2023,32.364,0.04646298
31-12-2023,35.834,-0.107217896
31-03-2024,35.892,-0.001618575
30-06-2024,37.945,-0.057199376
30-09-2024,37.42,0.013835815
31-12-2024,40.331,-0.077792624
31-03-2025,42.091,-0.043638888
30-06-2025,45.108,-0.071678031
30-09-2025,45.45,-0.007581804
31-12-2025,45.478,-0.000616062
