Date,Sales,GrowthRate
30-06-2013,3.511,-0.12100894
30-09-2013,3.486,0.007120478
31-12-2013,3.519,-0.009466437
31-03-2014,3.448,0.020176186
30-06-2014,4.393,-0.274071926
30-09-2014,3.933,0.104712042
31-12-2014,4.276,-0.087210781
31-03-2015,4.347,-0.016604303
30-06-2015,5.057,-0.163331033
30-09-2015,5.011,0.009096302
31-12-2015,7.149,-0.426661345
31-03-2016,6.725,0.059308994
30-06-2016,7.99,-0.188104089
30-09-2016,7.517,0.059198999
31-12-2016,8.937,-0.188905148
31-03-2017,8.282,0.073290813
30-06-2017,8.725,-0.053489495
30-09-2017,9.049,-0.03713467
31-12-2017,8.365,0.075588463
31-03-2018,8.613,-0.02964734
30-06-2018,9.114,-0.058167886
30-09-2018,7.877,0.135725258
31-12-2018,9.449,-0.199568364
31-03-2019,7.762,0.178537411
30-06-2019,9.092,-0.171347591
30-09-2019,9.006,0.009458865
31-12-2019,8.982,0.00266489
31-03-2020,6.561,0.269539078
30-06-2020,4.755,0.275262917
30-09-2020,6.979,-0.467718191
31-12-2020,7.352,-0.053446052
31-03-2021,8.385,-0.140505985
30-06-2021,9.702,-0.15706619
30-09-2021,9.99,-0.029684601
31-12-2021,11.303,-0.131431431
31-03-2022,8.615,0.23781297
30-06-2022,10.154,-0.178641904
30-09-2022,10.077,0.007583218
31-12-2022,9.707,0.036717277
31-03-2023,9.637,0.007211291
30-06-2023,11.37,-0.179827747
30-09-2023,10.893,0.041952507
31-12-2023,12.677,-0.163774901
31-03-2024,12.318,0.028319003
30-06-2024,11.828,0.039779185
30-09-2024,11.117,0.0601116
31-12-2024,10.474,0.057839345
31-03-2025,8.48,0.19037617
30-06-2025,7.839,0.075589623
30-09-2025,7.428,0.052430157
31-12-2025,7.728,-0.040387722
