Date,Sales,GrowthRate
30-06-2013,9.154,-0.003618024
30-09-2013,9.637,-0.052763819
31-12-2013,9.931,-0.030507419
31-03-2014,10.377,-0.044909878
30-06-2014,10.856,-0.046159776
30-09-2014,11.265,-0.037675018
31-12-2014,12.164,-0.079804705
31-03-2015,12.354,-0.015619862
30-06-2015,13.648,-0.104743403
30-09-2015,13.041,0.044475381
31-12-2015,14.498,-0.111724561
31-03-2016,13.968,0.036556766
30-06-2016,14.721,-0.053908935
30-09-2016,14.766,-0.003056858
31-12-2016,14.595,0.011580658
31-03-2017,15.705,-0.076053443
30-06-2017,16.79,-0.069086278
30-09-2017,15.351,0.085705777
31-12-2017,16.671,-0.085987884
31-03-2018,17.579,-0.054465839
30-06-2018,18.073,-0.028101712
30-09-2018,17.948,0.006916395
31-12-2018,18.65,-0.039112993
31-03-2019,18.996,-0.018552279
30-06-2019,20.561,-0.082385765
30-09-2019,19.754,0.039249064
31-12-2019,20.894,-0.057709831
31-03-2020,19.218,0.080214416
30-06-2020,15.55,0.190862733
30-09-2020,19.911,-0.280450161
31-12-2020,20.72,-0.040630807
31-03-2021,17.439,0.158349421
30-06-2021,24.839,-0.424336258
30-09-2021,23.779,0.042674826
31-12-2021,24.202,-0.017788805
31-03-2022,18.974,0.216015205
30-06-2022,22.07,-0.163170655
30-09-2022,21.569,0.022700498
31-12-2022,23.506,-0.089804812
31-03-2023,25.142,-0.069599251
30-06-2023,27.002,-0.073979795
30-09-2023,25.844,0.042885712
31-12-2023,27.299,-0.056299334
31-03-2024,29.3,-0.073299388
30-06-2024,30.76,-0.049829352
30-09-2024,30.601,0.005169051
31-12-2024,32.986,-0.077938629
31-03-2025,33.308,-0.009761717
30-06-2025,36.468,-0.094872103
30-09-2025,35.592,0.02402106
31-12-2025,38.479,-0.081113733
