Date,Sales,GrowthRate
30-06-2014,0.703,-0.007163324
30-09-2014,0.577,0.179231863
31-12-2014,0.838,-0.452339688
31-03-2015,0.719,0.142004773
30-06-2015,0.753,-0.0472879
30-09-2015,0.686,0.088977424
31-12-2015,0.572,0.166180758
31-03-2016,0.731,-0.277972028
30-06-2016,0.813,-0.112175103
30-09-2016,0.571,0.297662977
31-12-2016,0.73,-0.278458844
31-03-2017,0.579,0.206849315
30-06-2017,0.556,0.039723661
30-09-2017,0.523,0.059352518
31-12-2017,0.51,0.024856597
31-03-2018,0.447,0.123529412
30-06-2018,0.546,-0.22147651
30-09-2018,0.452,0.172161172
31-12-2018,0.507,-0.121681416
31-03-2019,0.576,-0.136094675
30-06-2019,1.014,-0.760416667
30-09-2019,0.456,0.550295858
31-12-2019,0.57,-0.25
31-03-2020,0.275,0.51754386
30-06-2020,0.338,-0.229090909
30-09-2020,0.381,-0.127218935
31-12-2020,0.223,0.414698163
31-03-2021,3.898,-16.47982063
30-06-2021,0.373,0.904309903
30-09-2021,0.367,0.016085791
31-12-2021,0.286,0.220708447
31-03-2022,8.014,-27.02097902
30-06-2022,10.21,-0.274020464
30-09-2022,10.51,-0.029382958
31-12-2022,11.24,-0.069457659
31-03-2023,11.068,0.015302491
30-06-2023,12.59,-0.137513553
30-09-2023,12.591,-7.94281E-05
31-12-2023,12.95,-0.02851243
31-03-2024,12.739,0.016293436
30-06-2024,15.006,-0.177957453
30-09-2024,16.314,-0.087165134
31-12-2024,17.785,-0.090167954
31-03-2025,17.27,0.028956986
30-06-2025,21.168,-0.225709323
30-09-2025,20.837,0.01563681
31-12-2025,22.648,-0.086912703
