Date,Sales,GrowthRate
30-06-2013,3.132,-0.211605416
30-09-2013,2.957,0.05587484
31-12-2013,3.306,-0.118025025
31-03-2014,4.063,-0.228977616
30-06-2014,4.355,-0.071868078
30-09-2014,4.828,-0.108610792
31-12-2014,5.587,-0.157207954
31-03-2015,6.174,-0.10506533
30-06-2015,7.075,-0.145934564
30-09-2015,6.525,0.077738516
31-12-2015,7.471,-0.144980843
31-03-2016,7.713,-0.032391915
30-06-2016,8.372,-0.085440166
30-09-2016,8.715,-0.0409699
31-12-2016,9.507,-0.090877797
31-03-2017,10.097,-0.062059535
30-06-2017,11.24,-0.113201941
30-09-2017,10.124,0.099288256
31-12-2017,13.071,-0.291090478
31-03-2018,13.595,-0.040088746
30-06-2018,15.525,-0.141963957
30-09-2018,15.805,-0.018035427
31-12-2018,16.954,-0.072698513
31-03-2019,18.124,-0.069010263
30-06-2019,19.475,-0.074542044
30-09-2019,19.439,0.001848524
31-12-2019,22.604,-0.162817017
31-03-2020,20.481,0.09392143
30-06-2020,15.292,0.25335677
30-09-2020,20.875,-0.365092859
31-12-2020,22.686,-0.086754491
31-03-2021,23.845,-0.051088777
30-06-2021,29.35,-0.23086601
30-09-2021,27.774,0.053696763
31-12-2021,29.133,-0.048930655
31-03-2022,30.808,-0.057494937
30-06-2022,34.497,-0.119741626
30-09-2022,32.844,0.04791721
31-12-2022,34.231,-0.042229935
31-03-2023,38.266,-0.11787561
30-06-2023,40.42,-0.056290179
30-09-2023,38.83,0.039336962
31-12-2023,42.5,-0.094514551
31-03-2024,43.541,-0.024494118
30-06-2024,46.5,-0.067958935
30-09-2024,46,0.010752688
31-12-2024,49.617,-0.078630435
31-03-2025,51.765,-0.043291614
30-06-2025,55.91,-0.080073409
30-09-2025,55.618,0.005222679
31-12-2025,56.887,-0.022816354
