Date,Sales,GrowthRate
30-06-2013,4.764,-0.066726377
30-09-2013,4.654,0.02308984
31-12-2013,5.118,-0.099699183
31-03-2014,5.451,-0.065064478
30-06-2014,6.359,-0.16657494
30-09-2014,5.737,0.097814122
31-12-2014,6.384,-0.112776713
31-03-2015,6.315,0.010808271
30-06-2015,6.915,-0.095011876
30-09-2015,6.956,-0.00592914
31-12-2015,9.342,-0.343013226
31-03-2016,8.889,0.048490687
30-06-2016,10.176,-0.14478569
30-09-2016,9.05,0.110652516
31-12-2016,11.119,-0.228618785
31-03-2017,10.24,0.079053872
30-06-2017,10.86,-0.060546875
30-09-2017,10.815,0.004143646
31-12-2017,10.513,0.027924179
31-03-2018,10.405,0.010272995
30-06-2018,11.774,-0.13157136
30-09-2018,10.232,0.130966536
31-12-2018,11.818,-0.155003909
31-03-2019,9.891,0.163056355
30-06-2019,11.027,-0.114851886
30-09-2019,11.064,-0.0033554
31-12-2019,11.209,-0.013105568
31-03-2020,8.106,0.276831118
30-06-2020,5.864,0.276585245
30-09-2020,8.671,-0.478683492
31-12-2020,9.177,-0.058355438
31-03-2021,9.659,-0.052522611
30-06-2021,11.277,-0.167512165
30-09-2021,11.839,-0.049835949
31-12-2021,13.014,-0.099248247
31-03-2022,10.148,0.220224374
30-06-2022,11.425,-0.125837603
30-09-2022,11.522,-0.008490153
31-12-2022,11.444,0.006769658
31-03-2023,11.504,-0.005242922
30-06-2023,12.745,-0.107875522
30-09-2023,12.471,0.021498627
31-12-2023,14.527,-0.164862481
31-03-2024,14.432,0.006539547
30-06-2024,13.592,0.058203991
30-09-2024,12.798,0.058416716
31-12-2024,13.019,-0.017268323
31-03-2025,10.493,0.194024119
30-06-2025,10.211,0.02687506
30-09-2025,9.29,0.090196847
31-12-2025,9.852,-0.060495156
