Date,Sales,GrowthRate
30-06-2013,12.533,-0.012440423
30-09-2013,12.535,-0.000159579
31-12-2013,13.46,-0.073793379
31-03-2014,14.348,-0.065973254
30-06-2014,14.91,-0.039169222
30-09-2014,15.415,-0.033869886
31-12-2014,16.434,-0.066104444
31-03-2015,16.57,-0.008275526
30-06-2015,17.736,-0.070368135
30-09-2015,17.133,0.033998647
31-12-2015,18.389,-0.073308819
31-03-2016,18.44,-0.002773397
30-06-2016,20.159,-0.093221258
30-09-2016,19.918,0.011954958
31-12-2016,19.722,0.009840345
31-03-2017,20.295,-0.029053848
30-06-2017,22.464,-0.106873614
30-09-2017,20.606,0.082710114
31-12-2017,21.87,-0.061341357
31-03-2018,22.488,-0.028257888
30-06-2018,23.909,-0.063189256
30-09-2018,23.385,0.021916433
31-12-2018,23.586,-0.008595253
31-03-2019,25.296,-0.072500636
30-06-2019,27.353,-0.081317204
30-09-2019,25.604,0.063941798
31-12-2019,26.897,-0.050499922
31-03-2020,24.333,0.095326616
30-06-2020,19.294,0.207085029
30-09-2020,24.818,-0.286306624
31-12-2020,25.609,-0.031872028
31-03-2021,21.873,0.145886212
30-06-2021,30.352,-0.387646871
30-09-2021,30.478,-0.004151292
31-12-2021,30.779,-0.009875976
31-03-2022,25.466,0.172617694
30-06-2022,28.283,-0.110618079
30-09-2022,28.249,0.001202136
31-12-2022,30.93,-0.094906014
31-03-2023,32.428,-0.048431943
30-06-2023,34.724,-0.07080301
30-09-2023,33.851,0.025141113
31-12-2023,35.767,-0.056600987
31-03-2024,37.202,-0.040120782
30-06-2024,39.93,-0.073329391
30-09-2024,39.208,0.018081643
31-12-2024,42,-0.071209957
31-03-2025,42.303,-0.007214286
30-06-2025,46.817,-0.10670638
30-09-2025,46.444,0.007967191
31-12-2025,49.323,-0.061988631
