Date,Sales,GrowthRate
30-06-2014,0.89,0.096446701
30-09-2014,0.698,0.215730337
31-12-2014,1.01,-0.446991404
31-03-2015,0.827,0.181188119
30-06-2015,0.857,-0.036275695
30-09-2015,0.809,0.056009335
31-12-2015,0.661,0.182941904
31-03-2016,0.898,-0.358547655
30-06-2016,0.965,-0.074610245
30-09-2016,0.657,0.319170984
31-12-2016,0.809,-0.231354642
31-03-2017,0.641,0.207663782
30-06-2017,0.667,-0.040561622
30-09-2017,0.605,0.092953523
31-12-2017,0.608,-0.004958678
31-03-2018,0.506,0.167763158
30-06-2018,0.594,-0.173913043
30-09-2018,0.519,0.126262626
31-12-2018,0.535,-0.030828516
31-03-2019,0.655,-0.224299065
30-06-2019,1.051,-0.604580153
30-09-2019,0.507,0.517602284
31-12-2019,0.611,-0.205128205
31-03-2020,0.305,0.500818331
30-06-2020,0.374,-0.226229508
30-09-2020,0.393,-0.050802139
31-12-2020,0.253,0.356234097
31-03-2021,3.898,-14.40711462
30-06-2021,0.397,0.898152899
30-09-2021,0.369,0.070528967
31-12-2021,0.292,0.208672087
31-03-2022,8.154,-26.92465753
30-06-2022,10.324,-0.266127054
30-09-2022,10.631,-0.029736536
31-12-2022,11.423,-0.074499106
31-03-2023,11.296,0.01111792
30-06-2023,13.029,-0.153417139
30-09-2023,13.138,-0.008365953
31-12-2023,13.749,-0.046506318
31-03-2024,13.676,0.005309477
30-06-2024,16.247,-0.187993565
30-09-2024,17.904,-0.101988059
31-12-2024,19.641,-0.097017426
31-03-2025,19.059,0.029631892
30-06-2025,23.201,-0.217325148
30-09-2025,22.917,0.012240852
31-12-2025,24.438,-0.066369944
