Date,Sales,GrowthRate
30-06-2021,79.5,-0.017925736
30-09-2021,77.8,0.021383648
31-12-2021,86.8,-0.115681234
31-03-2022,81.4,0.062211982
30-06-2022,80.2,0.014742015
30-09-2022,85.9,-0.071072319
31-12-2022,92.9,-0.081490105
31-03-2023,88.8,0.044133477
30-06-2023,93,-0.047297297
30-09-2023,95,-0.021505376
31-12-2023,94.8,0.002105263
31-03-2024,94.7,0.001054852
30-06-2024,97.7,-0.031678986
30-09-2024,98.2,-0.005117707
31-12-2024,105.8,-0.077393075
31-03-2025,101.1,0.04442344
30-06-2025,102.7,-0.015825915
30-09-2025,114,-0.110029211
31-12-2025,115.1,-0.009649123
