Date,Sales,GrowthRate
30-06-2021,106.9,-0.041910331
30-09-2021,106.3,0.005612722
31-12-2021,106.6,-0.002822201
31-03-2022,116,-0.088180113
30-06-2022,122.8,-0.05862069
30-09-2022,116.2,0.053745928
31-12-2022,124.6,-0.072289157
31-03-2023,70.5,0.434189406
30-06-2023,76.4,-0.083687943
30-09-2023,76.3,0.001308901
31-12-2023,78.5,-0.028833552
31-03-2024,71.4,0.09044586
30-06-2024,74,-0.036414566
30-09-2024,72.2,0.024324324
31-12-2024,73.8,-0.022160665
31-03-2025,66.4,0.100271003
30-06-2025,72.3,-0.088855422
30-09-2025,63.8,0.117565698
31-12-2025,65.8,-0.031347962
