Date,Sales,GrowthRate
31-03-2013,191,-0.055248619
30-06-2013,168,0.120418848
30-09-2013,208,-0.238095238
31-12-2013,192,0.076923077
31-03-2014,212,-0.104166667
30-06-2014,184,0.132075472
30-09-2014,205,-0.114130435
31-12-2014,196,0.043902439
31-03-2015,192,0.020408163
30-06-2015,167,0.130208333
30-09-2015,176,-0.053892216
31-12-2015,177,-0.005681818
31-03-2016,167,0.056497175
30-06-2016,164,0.017964072
30-09-2016,177,-0.079268293
31-12-2016,163,0.079096045
31-03-2017,160,0.018404908
30-06-2017,171,-0.06875
30-09-2017,191,-0.116959064
31-12-2017,181,0.052356021
31-03-2018,191,-0.055248619
30-06-2018,188,0.015706806
30-09-2018,206,-0.095744681
31-12-2018,173,0.160194175
31-03-2019,177,-0.023121387
30-06-2019,167,0.056497175
30-09-2019,192,-0.149700599
31-12-2019,171,0.109375
31-03-2020,172,-0.005847953
30-06-2020,145,0.156976744
30-09-2020,191,-0.317241379
31-12-2020,192,-0.005235602
31-03-2021,207,-0.078125
30-06-2021,192,0.072463768
30-09-2021,214,-0.114583333
31-12-2021,209,0.023364486
31-03-2022,206,0.014354067
30-06-2022,201,0.024271845
30-09-2022,221,-0.099502488
31-12-2022,212,0.040723982
31-03-2023,228,-0.075471698
30-06-2023,220,0.035087719
30-09-2023,246,-0.118181818
31-12-2023,232,0.056910569
31-03-2024,235,-0.012931034
30-06-2024,222,0.055319149
30-09-2024,247,-0.112612613
31-12-2024,208,0.157894737
31-03-2025,209,-0.004807692
30-06-2025,213,-0.019138756
30-09-2025,234,-0.098591549
31-12-2025,202,0.136752137
