Date,Sales,GrowthRate
31-03-2013,337,-0.015060241
30-06-2013,345,-0.023738872
30-09-2013,361,-0.046376812
31-12-2013,351,0.027700831
31-03-2014,352,-0.002849003
30-06-2014,370,-0.051136364
30-09-2014,389,-0.051351351
31-12-2014,361,0.071979434
31-03-2015,338,0.063711911
30-06-2015,339,-0.00295858
30-09-2015,371,-0.09439528
31-12-2015,330,0.110512129
31-03-2016,328,0.006060606
30-06-2016,371,-0.131097561
30-09-2016,366,0.013477089
31-12-2016,358,0.021857923
31-03-2017,355,0.008379888
30-06-2017,375.5,-0.057746479
30-09-2017,397,-0.057256991
31-12-2017,405,-0.020151134
31-03-2018,409,-0.009876543
30-06-2018,416,-0.017114914
30-09-2018,421,-0.012019231
31-12-2018,399,0.052256532
31-03-2019,404,-0.012531328
30-06-2019,416,-0.02970297
30-09-2019,440,-0.057692308
31-12-2019,414,0.059090909
31-03-2020,420,-0.014492754
30-06-2020,370,0.119047619
30-09-2020,456,-0.232432432
31-12-2020,653,-0.432017544
31-03-2021,807,-0.235834609
30-06-2021,682,0.154894672
30-09-2021,607,0.109970674
31-12-2021,530,0.126853377
31-03-2022,532,-0.003773585
30-06-2022,461,0.133458647
30-09-2022,471,-0.021691974
31-12-2022,445,0.055201699
31-03-2023,466,-0.047191011
30-06-2023,460,0.012875536
30-09-2023,479,-0.041304348
31-12-2023,470,0.018789144
31-03-2024,490,-0.042553191
30-06-2024,491,-0.002040816
30-09-2024,495,-0.00814664
31-12-2024,485,0.02020202
31-03-2025,463,0.045360825
30-06-2025,501,-0.082073434
30-09-2025,523,-0.043912176
31-12-2025,543,-0.038240918
