Date,Sales,GrowthRate
30-09-2015,89,0.205357143
31-12-2015,106,-0.191011236
31-03-2016,94,0.113207547
30-06-2016,112,-0.191489362
30-09-2016,107,0.044642857
31-12-2016,109,-0.018691589
31-03-2017,103,0.055045872
30-06-2017,109,-0.058252427
30-09-2017,131,-0.201834862
31-12-2017,116,0.114503817
31-03-2018,120,-0.034482759
30-06-2018,127,-0.058333333
30-09-2018,149,-0.173228346
31-12-2018,118,0.208053691
31-03-2019,118,0
30-06-2019,129,-0.093220339
30-09-2019,161,-0.248062016
31-12-2019,113,0.298136646
31-03-2020,119,-0.053097345
30-06-2020,177,-0.487394958
30-09-2020,181,-0.02259887
31-12-2020,152,0.160220994
31-03-2021,126,0.171052632
30-06-2021,139,-0.103174603
30-09-2021,153,-0.100719424
31-12-2021,143,0.065359477
31-03-2022,143,0
30-06-2022,144,-0.006993007
30-09-2022,168,-0.166666667
31-12-2022,142,0.154761905
31-03-2023,173,-0.218309859
30-06-2023,167,0.034682081
30-09-2023,194,-0.161676647
31-12-2023,153,0.211340206
31-03-2024,162,-0.058823529
30-06-2024,160,0.012345679
30-09-2024,195,-0.21875
31-12-2024,142,0.271794872
31-03-2025,149,-0.049295775
30-06-2025,179,-0.201342282
30-09-2025,194,-0.083798883
31-12-2025,156,0.195876289
