Date,Sales,GrowthRate
31-03-2013,303,-0.055749129
30-06-2013,315,-0.03960396
30-09-2013,308,0.022222222
31-12-2013,317,-0.029220779
31-03-2014,311,0.018927445
30-06-2014,333,-0.07073955
30-09-2014,331,0.006006006
31-12-2014,333,-0.006042296
31-03-2015,309,0.072072072
30-06-2015,369,-0.194174757
30-09-2015,356,0.035230352
31-12-2015,357,-0.002808989
31-03-2016,348,0.025210084
30-06-2016,378,-0.086206897
30-09-2016,372,0.015873016
31-12-2016,374,-0.005376344
31-03-2017,370,0.010695187
30-06-2017,389,-0.051351351
30-09-2017,396,-0.017994859
31-12-2017,398,-0.005050505
31-03-2018,674,-0.693467337
30-06-2018,471,0.301186944
30-09-2018,454,0.036093418
31-12-2018,438,0.035242291
31-03-2019,446,-0.01826484
30-06-2019,460,-0.031390135
30-09-2019,468,-0.017391304
31-12-2019,428,0.085470085
31-03-2020,386,0.098130841
30-06-2020,369,0.044041451
30-09-2020,400,-0.08401084
31-12-2020,440,-0.1
31-03-2021,468,-0.063636364
30-06-2021,447,0.044871795
30-09-2021,457,-0.022371365
31-12-2021,465,-0.01750547
31-03-2022,460,0.010752688
30-06-2022,439,0.045652174
30-09-2022,450,-0.025056948
31-12-2022,419,0.068888889
31-03-2023,454,-0.08353222
30-06-2023,459,-0.011013216
30-09-2023,442,0.037037037
31-12-2023,413,0.06561086
31-03-2024,445,-0.07748184
30-06-2024,453,-0.017977528
30-09-2024,458,-0.011037528
31-12-2024,430,0.061135371
31-03-2025,430,0
30-06-2025,452,-0.051162791
30-09-2025,474,-0.048672566
31-12-2025,435,0.082278481
