Date,Sales,GrowthRate
31-03-2019,162,-0.0125
30-06-2019,169,-0.043209877
30-09-2019,167,0.01183432
31-12-2019,170,-0.017964072
31-03-2020,157,0.076470588
30-06-2020,143,0.089171975
30-09-2020,170,-0.188811189
31-12-2020,193,-0.135294118
31-03-2021,198,-0.025906736
30-06-2021,198,0
30-09-2021,191,0.035353535
31-12-2021,197,-0.031413613
31-03-2022,210,-0.065989848
30-06-2022,208,0.00952381
30-09-2022,184,0.115384615
31-12-2022,197,-0.070652174
31-03-2023,213,-0.081218274
30-06-2023,225,-0.056338028
30-09-2023,214,0.048888889
31-12-2023,220,-0.028037383
31-03-2024,225,-0.022727273
30-06-2024,225,0
30-09-2024,235,-0.044444444
31-12-2024,220,0.063829787
31-03-2025,212,0.036363636
30-06-2025,241,-0.136792453
30-09-2025,256,-0.062240664
31-12-2025,220,0.140625
