Date,Sales,GrowthRate
31-03-2013,221,-0.567375887
30-06-2013,244,-0.104072398
30-09-2013,241,0.012295082
31-12-2013,164,0.319502075
31-03-2014,238,-0.451219512
30-06-2014,259,-0.088235294
30-09-2014,265,-0.023166023
31-12-2014,141,0.467924528
31-03-2015,223,-0.581560284
30-06-2015,245,-0.098654709
30-09-2015,254,-0.036734694
31-12-2015,133,0.476377953
31-03-2016,229,-0.721804511
30-06-2016,244,-0.065502183
30-09-2016,265,-0.086065574
31-12-2016,165,0.377358491
31-03-2017,235,-0.424242424
30-06-2017,257.5,-0.095744681
30-09-2017,271,-0.052427184
31-12-2017,192,0.291512915
31-03-2018,284,-0.479166667
30-06-2018,279,0.017605634
30-09-2018,285,-0.021505376
31-12-2018,212,0.256140351
31-03-2019,273,-0.287735849
30-06-2019,286,-0.047619048
30-09-2019,302,-0.055944056
31-12-2019,215,0.28807947
31-03-2020,309,-0.437209302
30-06-2020,291,0.058252427
30-09-2020,369,-0.268041237
31-12-2020,260,0.295392954
31-03-2021,361,-0.388461538
30-06-2021,364,-0.008310249
30-09-2021,416,-0.142857143
31-12-2021,294,0.293269231
31-03-2022,375,-0.275510204
30-06-2022,388,-0.034666667
30-09-2022,411,-0.059278351
31-12-2022,290,0.294403893
31-03-2023,394,-0.35862069
30-06-2023,408,-0.035532995
30-09-2023,471,-0.154411765
31-12-2023,304,0.354564756
31-03-2024,413,-0.358552632
30-06-2024,437,-0.05811138
30-09-2024,490,-0.121281465
31-12-2024,314,0.359183673
31-03-2025,426,-0.356687898
30-06-2025,451,-0.058685446
30-09-2025,475,-0.053215078
31-12-2025,222,0.532631579
