Date,Sales,GrowthRate
31-03-2019,242,0.016260163
30-06-2019,242,0
30-09-2019,247,-0.020661157
31-12-2019,256,-0.036437247
31-03-2020,249,0.02734375
30-06-2020,154,0.381526104
30-09-2020,232,-0.506493506
31-12-2020,262,-0.129310345
31-03-2021,227,0.133587786
30-06-2021,267,-0.176211454
30-09-2021,266,0.003745318
31-12-2021,281,-0.056390977
31-03-2022,268,0.046263345
30-06-2022,274,-0.02238806
30-09-2022,270,0.01459854
31-12-2022,287,-0.062962963
31-03-2023,295,-0.027874564
30-06-2023,298,-0.010169492
30-09-2023,279,0.063758389
31-12-2023,280,-0.003584229
31-03-2024,287,-0.025
30-06-2024,283,0.013937282
30-09-2024,279,0.014134276
31-12-2024,303,-0.086021505
31-03-2025,289,0.04620462
30-06-2025,294,-0.017301038
30-09-2025,290,0.013605442
31-12-2025,310,-0.068965517
