Date,Sales,GrowthRate
31-03-2018,84,0.045454545
30-06-2018,87,-0.035714286
30-09-2018,85,0.022988506
31-12-2018,83,0.023529412
31-03-2019,75,0.096385542
30-06-2019,80,-0.066666667
30-09-2019,85,-0.0625
31-12-2019,85,0
31-03-2020,76,0.105882353
30-06-2020,74,0.026315789
30-09-2020,80,-0.081081081
31-12-2020,89,-0.1125
31-03-2021,82,0.078651685
30-06-2021,83,-0.012195122
30-09-2021,84,-0.012048193
31-12-2021,87,-0.035714286
31-03-2022,82,0.057471264
30-06-2022,79,0.036585366
30-09-2022,72,0.088607595
31-12-2022,74,-0.027777778
31-03-2023,74,0
30-06-2023,77,-0.040540541
30-09-2023,76,0.012987013
31-12-2023,78,-0.026315789
31-03-2024,78,0
30-06-2024,78,0
30-09-2024,84,-0.076923077
31-12-2024,83,0.011904762
31-03-2025,77,0.072289157
30-06-2025,88,-0.142857143
30-09-2025,97,-0.102272727
31-12-2025,88,0.092783505
