Date,Sales,GrowthRate
31-03-2013,89,-0.05952381
30-06-2013,89,0
30-09-2013,92,-0.033707865
31-12-2013,87,0.054347826
31-03-2014,90,-0.034482759
30-06-2014,93,-0.033333333
30-09-2014,96,-0.032258065
31-12-2014,93,0.03125
31-03-2015,97,-0.043010753
30-06-2015,102,-0.051546392
30-09-2015,110,-0.078431373
31-12-2015,98,0.109090909
31-03-2016,110,-0.12244898
30-06-2016,106,0.036363636
30-09-2016,119,-0.122641509
31-12-2016,107,0.100840336
31-03-2017,110,-0.028037383
30-06-2017,115,-0.045454545
30-09-2017,123,-0.069565217
31-12-2017,108,0.12195122
31-03-2018,116,-0.074074074
30-06-2018,126,-0.086206897
30-09-2018,125,0.007936508
31-12-2018,108,0.136
31-03-2019,120,-0.111111111
30-06-2019,117,0.025
30-09-2019,140,-0.196581197
31-12-2019,152,-0.085714286
31-03-2020,108,0.289473684
30-06-2020,93,0.138888889
30-09-2020,112,-0.204301075
31-12-2020,120,-0.071428571
31-03-2021,121,-0.008333333
30-06-2021,124,-0.024793388
30-09-2021,138,-0.112903226
31-12-2021,129,0.065217391
31-03-2022,129,0
30-06-2022,147,-0.139534884
30-09-2022,137,0.068027211
31-12-2022,137,0
31-03-2023,159,-0.160583942
30-06-2023,148,0.06918239
30-09-2023,159,-0.074324324
31-12-2023,143,0.100628931
31-03-2024,142,0.006993007
30-06-2024,141,0.007042254
30-09-2024,151,-0.070921986
31-12-2024,153,-0.013245033
31-03-2025,142,0.071895425
30-06-2025,145,-0.021126761
30-09-2025,153,-0.055172414
31-12-2025,124,0.189542484
