Date,Sales,GrowthRate
31-03-2013,322,-0.003115265
30-06-2013,310,0.006069803
30-09-2013,319,-0.038167939
31-12-2013,320,0.013235294
31-03-2014,301,0.026825633
30-06-2014,309,-0.039816233
30-09-2014,319,-0.042709867
31-12-2014,331,0.02259887
31-03-2015,319,0.050578035
30-06-2015,313,0.00761035
30-09-2015,319,-0.058282209
31-12-2015,327,0.047826087
31-03-2016,331,-0.00304414
30-06-2016,322,-0.051593323
30-09-2016,335,-0.011544012
31-12-2016,330,0.018544936
31-03-2017,358,-0.036337209
30-06-2017,335.5,0.002805049
30-09-2017,340,-0.036568214
31-12-2017,351,-0.02578019
31-03-2018,382,-0.046296296
30-06-2018,350,0.031605563
30-09-2018,355,-0.01305483
31-12-2018,376,0.00128866
31-03-2019,351,0.025806452
30-06-2019,358,-0.026490066
30-09-2019,362,-0.03483871
31-12-2019,386,0.002493766
31-03-2020,414,-0.0425
30-06-2020,344,0.143884892
30-09-2020,729,-0.659663866
31-12-2020,1014,-0.406751055
31-03-2021,454,0.24355129
30-06-2021,435,0.114195083
30-09-2021,573,-0.056401074
31-12-2021,615,0.029661017
31-03-2022,618,-0.004366812
30-06-2022,499,0.164347826
30-09-2022,459,0.032258065
31-12-2022,508,-0.023655914
31-03-2023,422,0.067226891
30-06-2023,398,0.033783784
30-09-2023,447,-0.079254079
31-12-2023,444,0.014038877
31-03-2024,437,-0.015334064
30-06-2024,405,0.033441208
30-09-2024,448,-0.052455357
31-12-2024,450,0.007423118
31-03-2025,431,0.042735043
30-06-2025,394,0.001116071
30-09-2025,459,-0.096089385
31-12-2025,326,0.115188583
