Date,Sales,GrowthRate
30-09-2015,390,0.117647059
31-12-2015,439,-0.125641026
31-03-2016,439,0
30-06-2016,475,-0.082004556
30-09-2016,430,0.094736842
31-12-2016,492,-0.144186047
31-03-2017,464,0.056910569
30-06-2017,447,0.036637931
30-09-2017,440,0.015659955
31-12-2017,471,-0.070454545
31-03-2018,461,0.021231423
30-06-2018,483,-0.047722343
30-09-2018,542,-0.122153209
31-12-2018,506,0.066420664
31-03-2019,499,0.013833992
30-06-2019,532,-0.066132265
30-09-2019,577,-0.084586466
31-12-2019,462,0.199306759
31-03-2020,449,0.028138528
30-06-2020,500,-0.113585746
30-09-2020,453,0.094
31-12-2020,477,-0.052980132
31-03-2021,440,0.077568134
30-06-2021,459,-0.043181818
30-09-2021,487,-0.061002179
31-12-2021,484,0.006160164
31-03-2022,461,0.047520661
30-06-2022,463,-0.004338395
30-09-2022,527,-0.138228942
31-12-2022,564,-0.070208729
31-03-2023,550,0.024822695
30-06-2023,587,-0.067272727
30-09-2023,602,-0.025553663
31-12-2023,594,0.013289037
31-03-2024,609,-0.025252525
30-06-2024,680,-0.116584565
30-09-2024,744,-0.094117647
31-12-2024,659,0.114247312
31-03-2025,662,-0.004552352
30-06-2025,709,-0.070996979
30-09-2025,780,-0.100141044
31-12-2025,678,0.130769231
