Date,Sales,GrowthRate
31-03-2013,236,0.052208835
30-06-2013,246,-0.042372881
30-09-2013,252,-0.024390244
31-12-2013,262,-0.03968254
31-03-2014,240,0.083969466
30-06-2014,256,-0.066666667
30-09-2014,257,-0.00390625
31-12-2014,268,-0.042801556
31-03-2015,256,0.044776119
30-06-2015,479,-0.87109375
30-09-2015,481,-0.004175365
31-12-2015,491,-0.020790021
31-03-2016,484,0.014256619
30-06-2016,474,0.020661157
30-09-2016,511,-0.078059072
31-12-2016,495,0.031311155
31-03-2017,495,0
30-06-2017,480,0.03030303
30-09-2017,498,-0.0375
31-12-2017,527,-0.058232932
31-03-2018,974,-0.848197343
30-06-2018,505,0.481519507
30-09-2018,512,-0.013861386
31-12-2018,520,-0.015625
31-03-2019,482,0.073076923
30-06-2019,521,-0.080912863
30-09-2019,516,0.009596929
31-12-2019,520,-0.007751938
31-03-2020,518,0.003846154
30-06-2020,412,0.204633205
30-09-2020,522,-0.266990291
31-12-2020,568,-0.088122605
31-03-2021,531,0.065140845
30-06-2021,560,-0.054613936
30-09-2021,587,-0.048214286
31-12-2021,619,-0.05451448
31-03-2022,590,0.046849758
30-06-2022,622,-0.054237288
30-09-2022,651,-0.046623794
31-12-2022,620,0.047619048
31-03-2023,616,0.006451613
30-06-2023,628,-0.019480519
30-09-2023,656,-0.044585987
31-12-2023,639,0.025914634
31-03-2024,662,-0.03599374
30-06-2024,670,-0.012084592
30-09-2024,689,-0.028358209
31-12-2024,694,-0.007256894
31-03-2025,687,0.010086455
30-06-2025,680,0.010189229
30-09-2025,728,-0.070588235
31-12-2025,693,0.048076923
