Date,Sales,GrowthRate
31-03-2019,225,-0.00896861
30-06-2019,228,-0.013333333
30-09-2019,242,-0.061403509
31-12-2019,225,0.070247934
31-03-2020,242,-0.075555556
30-06-2020,174,0.280991736
30-09-2020,230,-0.32183908
31-12-2020,232,-0.008695652
31-03-2021,217,0.064655172
30-06-2021,238,-0.096774194
30-09-2021,238,0
31-12-2021,217,0.088235294
31-03-2022,240,-0.105990783
30-06-2022,255,-0.0625
30-09-2022,248,0.02745098
31-12-2022,236,0.048387097
31-03-2023,256,-0.084745763
30-06-2023,256,0
30-09-2023,268,-0.046875
31-12-2023,234,0.126865672
31-03-2024,264,-0.128205128
30-06-2024,263,0.003787879
30-09-2024,267,-0.015209125
31-12-2024,253,0.052434457
31-03-2025,269,-0.063241107
30-06-2025,271,-0.007434944
30-09-2025,275,-0.014760148
31-12-2025,265,0.036363636
