Date,Sales,GrowthRate
31-03-2013,70,-0.09375
30-06-2013,86,-0.228571429
30-09-2013,75,0.127906977
31-12-2013,57,0.24
31-03-2014,76,-0.333333333
30-06-2014,94,-0.236842105
30-09-2014,76,0.191489362
31-12-2014,66,0.131578947
31-03-2015,72,-0.090909091
30-06-2015,88,-0.222222222
30-09-2015,78,0.113636364
31-12-2015,63,0.192307692
31-03-2016,81,-0.285714286
30-06-2016,98,-0.209876543
30-09-2016,85,0.132653061
31-12-2016,62,0.270588235
31-03-2017,76,-0.225806452
30-06-2017,92.5,-0.217105263
30-09-2017,96,-0.037837838
31-12-2017,54,0.4375
31-03-2018,82,-0.518518519
30-06-2018,103,-0.256097561
30-09-2018,118,-0.145631068
31-12-2018,68,0.423728814
31-03-2019,93,-0.367647059
30-06-2019,108,-0.161290323
30-09-2019,123,-0.138888889
31-12-2019,84,0.317073171
31-03-2020,91,-0.083333333
30-06-2020,113,-0.241758242
30-09-2020,117,-0.03539823
31-12-2020,79,0.324786325
31-03-2021,100,-0.265822785
30-06-2021,112,-0.12
30-09-2021,136,-0.214285714
31-12-2021,102,0.25
31-03-2022,125,-0.225490196
30-06-2022,135,-0.08
30-09-2022,170,-0.259259259
31-12-2022,119,0.3
31-03-2023,173,-0.453781513
30-06-2023,186,-0.075144509
30-09-2023,188,-0.010752688
31-12-2023,127,0.324468085
31-03-2024,157,-0.236220472
30-06-2024,158,-0.006369427
30-09-2024,187,-0.183544304
31-12-2024,104,0.443850267
31-03-2025,149,-0.432692308
30-06-2025,178,-0.194630872
30-09-2025,228,-0.280898876
31-12-2025,245,-0.074561404
