Date,Sales,GrowthRate
31-03-2018,180,0.086294416
30-06-2018,178,0.011111111
30-09-2018,186,-0.04494382
31-12-2018,195,-0.048387097
31-03-2019,193,0.01025641
30-06-2019,196,-0.015544041
30-09-2019,204,-0.040816327
31-12-2019,206,-0.009803922
31-03-2020,202,0.019417476
30-06-2020,194,0.03960396
30-09-2020,212,-0.092783505
31-12-2020,228,-0.075471698
31-03-2021,217,0.048245614
30-06-2021,227,-0.046082949
30-09-2021,222,0.022026432
31-12-2021,254,-0.144144144
31-03-2022,239,0.059055118
30-06-2022,248,-0.037656904
30-09-2022,246,0.008064516
31-12-2022,259,-0.052845528
31-03-2023,263,-0.015444015
30-06-2023,272,-0.034220532
30-09-2023,279,-0.025735294
31-12-2023,287,-0.028673835
31-03-2024,347,-0.209059233
30-06-2024,297,0.144092219
30-09-2024,306,-0.03030303
31-12-2024,305,0.003267974
31-03-2025,323,-0.059016393
30-06-2025,334,-0.034055728
30-09-2025,341,-0.020958084
31-12-2025,339,0.005865103
