Date,Sales,GrowthRate
31-03-2013,280,-0.056603774
30-06-2013,257,0.082142857
30-09-2013,300,-0.167315175
31-12-2013,279,0.07
31-03-2014,302,-0.082437276
30-06-2014,277,0.082781457
30-09-2014,301,-0.086642599
31-12-2014,289,0.03986711
31-03-2015,289,0
30-06-2015,269,0.069204152
30-09-2015,286,-0.063197026
31-12-2015,275,0.038461538
31-03-2016,277,-0.007272727
30-06-2016,270,0.025270758
30-09-2016,296,-0.096296296
31-12-2016,270,0.087837838
31-03-2017,270,0
30-06-2017,286,-0.059259259
30-09-2017,314,-0.097902098
31-12-2017,289,0.079617834
31-03-2018,307,-0.062283737
30-06-2018,314,-0.022801303
30-09-2018,331,-0.054140127
31-12-2018,281,0.151057402
31-03-2019,297,-0.056939502
30-06-2019,284,0.043771044
30-09-2019,332,-0.169014085
31-12-2019,323,0.027108434
31-03-2020,280,0.133126935
30-06-2020,237,0.153571429
30-09-2020,303,-0.278481013
31-12-2020,312,-0.02970297
31-03-2021,325,-0.041666667
30-06-2021,316,0.027692308
30-09-2021,352,-0.113924051
31-12-2021,338,0.039772727
31-03-2022,335,0.00887574
30-06-2022,348,-0.03880597
30-09-2022,358,-0.028735632
31-12-2022,349,0.025139665
31-03-2023,386,-0.106017192
30-06-2023,368,0.046632124
30-09-2023,405,-0.100543478
31-12-2023,375,0.074074074
31-03-2024,377,-0.005333333
30-06-2024,363,0.037135279
30-09-2024,397,-0.093663912
31-12-2024,361,0.090680101
31-03-2025,352,0.024930748
30-06-2025,358,-0.017045455
30-09-2025,387,-0.081005587
31-12-2025,327,0.15503876
