Date,Sales,GrowthRate
31-03-2013,659,-0.009188361
30-06-2013,655,0.006069803
30-09-2013,680,-0.038167939
31-12-2013,671,0.013235294
31-03-2014,653,0.026825633
30-06-2014,679,-0.039816233
30-09-2014,708,-0.042709867
31-12-2014,692,0.02259887
31-03-2015,657,0.050578035
30-06-2015,652,0.00761035
30-09-2015,690,-0.058282209
31-12-2015,657,0.047826087
31-03-2016,659,-0.00304414
30-06-2016,693,-0.051593323
30-09-2016,701,-0.011544012
31-12-2016,688,0.018544936
31-03-2017,713,-0.036337209
30-06-2017,711,0.002805049
30-09-2017,737,-0.036568214
31-12-2017,756,-0.02578019
31-03-2018,791,-0.046296296
30-06-2018,766,0.031605563
30-09-2018,776,-0.01305483
31-12-2018,775,0.00128866
31-03-2019,755,0.025806452
30-06-2019,775,-0.026490066
30-09-2019,802,-0.03483871
31-12-2019,800,0.002493766
31-03-2020,834,-0.0425
30-06-2020,714,0.143884892
30-09-2020,1185,-0.659663866
31-12-2020,1667,-0.406751055
31-03-2021,1261,0.24355129
30-06-2021,1117,0.114195083
30-09-2021,1180,-0.056401074
31-12-2021,1145,0.029661017
31-03-2022,1150,-0.004366812
30-06-2022,961,0.164347826
30-09-2022,930,0.032258065
31-12-2022,952,-0.023655914
31-03-2023,888,0.067226891
30-06-2023,858,0.033783784
30-09-2023,926,-0.079254079
31-12-2023,913,0.014038877
31-03-2024,927,-0.015334064
30-06-2024,896,0.033441208
30-09-2024,943,-0.052455357
31-12-2024,936,0.007423118
31-03-2025,896,0.042735043
30-06-2025,895,0.001116071
30-09-2025,981,-0.096089385
31-12-2025,868,0.115188583
