Date,Sales,GrowthRate
30-09-2015,479,0.135379061
31-12-2015,545,-0.013142174
31-03-2016,533,0.018867925
30-06-2016,587,-0.024038462
30-09-2016,537,-0.036384977
31-12-2016,601,0.01585504
31-03-2017,567,0.004602992
30-06-2017,556,-0.004624277
30-09-2017,571,-0.0287687
31-12-2017,587,-0.034675615
31-03-2018,581,-0.781621622
30-06-2018,610,0.40776699
30-09-2018,691,0.010245902
31-12-2018,624,0.008281573
31-03-2019,617,0.03131524
30-06-2019,661,-0.057112069
30-09-2019,737,-0.003058104
31-12-2019,575,0.036585366
31-03-2020,568,0.046413502
30-06-2020,677,0.136061947
30-09-2020,634,-0.179257362
31-12-2020,630,-0.094462541
31-03-2021,566,0.008928571
30-06-2021,597,-0.008008008
30-09-2021,639,-0.035749752
31-12-2021,627,-0.039309684
31-03-2022,604,0.032287823
30-06-2022,607,-0.011439466
30-09-2022,695,-0.037700283
31-12-2022,706,0.056312443
31-03-2023,723,-0.029836381
30-06-2023,754,-0.014953271
30-09-2023,796,-0.011049724
31-12-2023,747,0.041894353
31-03-2024,772,-0.052281369
30-06-2024,840,-0.014453478
30-09-2024,939,-0.021371327
31-12-2024,801,0.02005231
31-03-2025,811,0.006227758
30-06-2025,888,-0.013428827
30-09-2025,974,-0.061837456
31-12-2025,835,0.06156406
