Date,Sales,GrowthRate
31-03-2013,539,-0.005597015
30-06-2013,561,-0.040816327
30-09-2013,560,0.001782531
31-12-2013,579,-0.033928571
31-03-2014,551,0.04835924
30-06-2014,589,-0.068965517
30-09-2014,588,0.001697793
31-12-2014,601,-0.022108844
31-03-2015,565,0.059900166
30-06-2015,848,-0.500884956
30-09-2015,837,0.012971698
31-12-2015,848,-0.013142174
31-03-2016,832,0.018867925
30-06-2016,852,-0.024038462
30-09-2016,883,-0.036384977
31-12-2016,869,0.01585504
31-03-2017,865,0.004602992
30-06-2017,869,-0.004624277
30-09-2017,894,-0.0287687
31-12-2017,925,-0.034675615
31-03-2018,1648,-0.781621622
30-06-2018,976,0.40776699
30-09-2018,966,0.010245902
31-12-2018,958,0.008281573
31-03-2019,928,0.03131524
30-06-2019,981,-0.057112069
30-09-2019,984,-0.003058104
31-12-2019,948,0.036585366
31-03-2020,904,0.046413502
30-06-2020,781,0.136061947
30-09-2020,921,-0.179257362
31-12-2020,1008,-0.094462541
31-03-2021,999,0.008928571
30-06-2021,1007,-0.008008008
30-09-2021,1043,-0.035749752
31-12-2021,1084,-0.039309684
31-03-2022,1049,0.032287823
30-06-2022,1061,-0.011439466
30-09-2022,1101,-0.037700283
31-12-2022,1039,0.056312443
31-03-2023,1070,-0.029836381
30-06-2023,1086,-0.014953271
30-09-2023,1098,-0.011049724
31-12-2023,1052,0.041894353
31-03-2024,1107,-0.052281369
30-06-2024,1123,-0.014453478
30-09-2024,1147,-0.021371327
31-12-2024,1124,0.02005231
31-03-2025,1117,0.006227758
30-06-2025,1132,-0.013428827
30-09-2025,1202,-0.061837456
31-12-2025,1128,0.06156406
