Date,Sales,GrowthRate
31-03-2019,387,-0.010443864
30-06-2019,396,-0.023255814
30-09-2019,409,-0.032828283
31-12-2019,395,0.034229829
31-03-2020,399,-0.010126582
30-06-2020,318,0.203007519
30-09-2020,399,-0.254716981
31-12-2020,426,-0.067669173
31-03-2021,420,0.014084507
30-06-2021,436,-0.038095238
30-09-2021,429,0.016055046
31-12-2021,413,0.037296037
31-03-2022,450,-0.089588378
30-06-2022,463,-0.028888889
30-09-2022,432,0.066954644
31-12-2022,433,-0.002314815
31-03-2023,468,-0.080831409
30-06-2023,481,-0.027777778
30-09-2023,482,-0.002079002
31-12-2023,454,0.058091286
31-03-2024,489,-0.077092511
30-06-2024,488,0.00204499
30-09-2024,502,-0.028688525
31-12-2024,473,0.057768924
31-03-2025,481,-0.016913319
30-06-2025,512,-0.064449064
30-09-2025,530,-0.03515625
31-12-2025,485,0.08490566
