Date,Sales,GrowthRate
31-03-2013,291,-0.419512195
30-06-2013,330,-0.134020619
30-09-2013,316,0.042424242
31-12-2013,221,0.300632911
31-03-2014,314,-0.42081448
30-06-2014,353,-0.124203822
30-09-2014,341,0.033994334
31-12-2014,207,0.392961877
31-03-2015,295,-0.425120773
30-06-2015,333,-0.128813559
30-09-2015,332,0.003003003
31-12-2015,196,0.409638554
31-03-2016,310,-0.581632653
30-06-2016,342,-0.103225806
30-09-2016,350,-0.023391813
31-12-2016,227,0.351428571
31-03-2017,311,-0.370044053
30-06-2017,350,-0.125401929
30-09-2017,367,-0.048571429
31-12-2017,246,0.329700272
31-03-2018,366,-0.487804878
30-06-2018,382,-0.043715847
30-09-2018,403,-0.054973822
31-12-2018,280,0.305210918
31-03-2019,366,-0.307142857
30-06-2019,394,-0.076502732
30-09-2019,425,-0.078680203
31-12-2019,299,0.296470588
31-03-2020,400,-0.337792642
30-06-2020,403,-0.0075
30-09-2020,485,-0.203473945
31-12-2020,339,0.301030928
31-03-2021,462,-0.362831858
30-06-2021,476,-0.03030303
30-09-2021,553,-0.161764706
31-12-2021,397,0.282097649
31-03-2022,501,-0.261964736
30-06-2022,523,-0.043912176
30-09-2022,581,-0.110898662
31-12-2022,409,0.296041308
31-03-2023,567,-0.386308068
30-06-2023,594,-0.047619048
30-09-2023,659,-0.109427609
31-12-2023,431,0.345978756
31-03-2024,570,-0.3225058
30-06-2024,594,-0.042105263
30-09-2024,677,-0.13973064
31-12-2024,418,0.382570162
31-03-2025,575,-0.375598086
30-06-2025,629,-0.093913043
30-09-2025,702,-0.116057234
31-12-2025,468,0.333333333
