Date,Sales,GrowthRate
31-03-2019,308,0.006451613
30-06-2019,309,-0.003246753
30-09-2019,315,-0.019417476
31-12-2019,326,-0.034920635
31-03-2020,312,0.042944785
30-06-2020,197,0.368589744
30-09-2020,286,-0.45177665
31-12-2020,332,-0.160839161
31-03-2021,292,0.120481928
30-06-2021,336,-0.150684932
30-09-2021,336,0
31-12-2021,361,-0.074404762
31-03-2022,340,0.058171745
30-06-2022,352,-0.035294118
30-09-2022,347,0.014204545
31-12-2022,363,-0.04610951
31-03-2023,381,-0.049586777
30-06-2023,388,-0.018372703
30-09-2023,366,0.056701031
31-12-2023,369,-0.008196721
31-03-2024,379,-0.027100271
30-06-2024,376,0.007915567
30-09-2024,368,0.021276596
31-12-2024,395,-0.073369565
31-03-2025,383,0.030379747
30-06-2025,395,-0.031331593
30-09-2025,400,-0.012658228
31-12-2025,418,-0.045
