Date,Sales,GrowthRate
31-03-2018,264,0.073684211
30-06-2018,265,-0.003787879
30-09-2018,271,-0.022641509
31-12-2018,278,-0.025830258
31-03-2019,268,0.035971223
30-06-2019,276,-0.029850746
30-09-2019,289,-0.047101449
31-12-2019,291,-0.006920415
31-03-2020,279,0.041237113
30-06-2020,268,0.039426523
30-09-2020,293,-0.093283582
31-12-2020,317,-0.081911263
31-03-2021,298,0.059936909
30-06-2021,310,-0.040268456
30-09-2021,306,0.012903226
31-12-2021,340,-0.111111111
31-03-2022,321,0.055882353
30-06-2022,326,-0.015576324
30-09-2022,318,0.024539877
31-12-2022,333,-0.047169811
31-03-2023,336,-0.009009009
30-06-2023,349,-0.038690476
30-09-2023,355,-0.017191977
31-12-2023,365,-0.028169014
31-03-2024,424,-0.161643836
30-06-2024,375,0.115566038
30-09-2024,390,-0.04
31-12-2024,389,0.002564103
31-03-2025,400,-0.028277635
30-06-2025,422,-0.055
30-09-2025,437,-0.035545024
31-12-2025,427,0.022883295
