Date,Sales,GrowthRate
30-06-2013,365,-0.028169014
30-09-2013,365,0
31-12-2013,384,-0.052054795
31-03-2014,429,-0.1171875
30-06-2014,467,-0.088578089
30-09-2014,459,0.017130621
31-12-2014,475,-0.034858388
31-03-2015,397,0.164210526
30-06-2015,408,-0.027707809
30-09-2015,395,0.031862745
31-12-2015,417,-0.055696203
31-03-2016,350,0.160671463
30-06-2016,404,-0.154285714
30-09-2016,381,0.056930693
31-12-2016,404,-0.060367454
31-03-2017,430,-0.064356436
30-06-2017,449,-0.044186047
30-09-2017,457,-0.017817372
31-12-2017,491,-0.074398249
31-03-2018,463,0.057026477
30-06-2018,482,-0.041036717
30-09-2018,448,0.070539419
31-12-2018,467,-0.042410714
31-03-2019,435,0.068522484
30-06-2019,472,-0.085057471
30-09-2019,461,0.023305085
31-12-2019,352,0.236442516
31-03-2020,454,-0.289772727
30-06-2020,426,0.061674009
30-09-2020,490,-0.150234742
31-12-2020,533,-0.087755102
31-03-2021,483,0.09380863
30-06-2021,518,-0.072463768
30-09-2021,527,-0.017374517
31-12-2021,546,-0.036053131
31-03-2022,469,0.141025641
30-06-2022,503,-0.07249467
30-09-2022,495,0.015904573
31-12-2022,533,-0.076767677
31-03-2023,499,0.063789869
30-06-2023,556,-0.114228457
30-09-2023,549,0.012589928
31-12-2023,598,-0.089253188
31-03-2024,556,0.070234114
30-06-2024,593,-0.066546763
30-09-2024,580,0.021922428
31-12-2024,596,-0.027586207
31-03-2025,533,0.105704698
30-06-2025,608,-0.140712946
30-09-2025,606,0.003289474
31-12-2025,668,-0.102310231
