Date,Sales,GrowthRate
30-06-2014,44,-0.222222222
30-09-2014,35,0.204545455
31-12-2014,43,-0.228571429
31-03-2015,40,0.069767442
30-06-2015,35,0.125
30-09-2015,38,-0.085714286
31-12-2015,37,0.026315789
31-03-2016,44,-0.189189189
30-06-2016,41,0.068181818
30-09-2016,42,-0.024390244
31-12-2016,32,0.238095238
31-03-2017,49,-0.53125
30-06-2017,50,-0.020408163
30-09-2017,47,0.06
31-12-2017,52,-0.106382979
31-03-2018,59,-0.134615385
30-06-2018,61,-0.033898305
30-09-2018,62,-0.016393443
31-12-2018,67,-0.080645161
31-03-2019,62,0.074626866
30-06-2019,67,-0.080645161
30-09-2019,57,0.149253731
31-12-2019,54,0.052631579
31-03-2020,73,-0.351851852
30-06-2020,68,0.068493151
30-09-2020,64,0.058823529
31-12-2020,75,-0.171875
31-03-2021,8,0.893333333
30-06-2021,6,0.25
30-09-2021,7,-0.166666667
31-12-2021,7,0
31-03-2022,8,-0.142857143
30-06-2022,13,-0.625
30-09-2022,10,0.230769231
31-12-2022,9,0.1
31-03-2023,5,0.444444444
30-06-2023,5,0
30-09-2023,5,0
31-12-2023,4,0.2
31-03-2024,5,-0.25
30-06-2024,6,-0.2
30-09-2024,14,-1.333333333
31-12-2024,8,0.428571429
31-03-2025,30,-2.75
30-06-2025,36,-0.2
30-09-2025,34,0.055555556
31-12-2025,35,-0.029411765
