Date,Sales,GrowthRate
30-06-2013,146,0.081761006
30-09-2013,149,-0.020547945
31-12-2013,166,-0.11409396
31-03-2014,308,-0.855421687
30-06-2014,334,-0.084415584
30-09-2014,332,0.005988024
31-12-2014,336,-0.012048193
31-03-2015,294,0.125
30-06-2015,288,0.020408163
30-09-2015,302,-0.048611111
31-12-2015,309,-0.023178808
31-03-2016,292,0.055016181
30-06-2016,302,-0.034246575
30-09-2016,304,-0.006622517
31-12-2016,299,0.016447368
31-03-2017,214,0.284280936
30-06-2017,234,-0.093457944
30-09-2017,275,-0.175213675
31-12-2017,268,0.025454545
31-03-2018,253,0.055970149
30-06-2018,275,-0.086956522
30-09-2018,278,-0.010909091
31-12-2018,285,-0.025179856
31-03-2019,278,0.024561404
30-06-2019,303,-0.089928058
30-09-2019,304,-0.00330033
31-12-2019,372,-0.223684211
31-03-2020,296,0.204301075
30-06-2020,273,0.077702703
30-09-2020,330,-0.208791209
31-12-2020,350,-0.060606061
31-03-2021,443,-0.265714286
30-06-2021,502,-0.133182844
30-09-2021,498,0.007968127
31-12-2021,420,0.156626506
31-03-2022,468,-0.114285714
30-06-2022,452,0.034188034
30-09-2022,425,0.059734513
31-12-2022,438,-0.030588235
31-03-2023,420,0.04109589
30-06-2023,368,0.123809524
30-09-2023,385,-0.046195652
31-12-2023,387,-0.005194805
31-03-2024,387,0
30-06-2024,405,-0.046511628
30-09-2024,410,-0.012345679
31-12-2024,429,-0.046341463
31-03-2025,386,0.1002331
30-06-2025,425,-0.101036269
30-09-2025,455,-0.070588235
31-12-2025,478,-0.050549451
