Date,Sales,GrowthRate
30-06-2013,390,-0.012987013
30-09-2013,427,-0.094871795
31-12-2013,435,-0.018735363
31-03-2014,397,0.087356322
30-06-2014,413,-0.040302267
30-09-2014,424,-0.026634383
31-12-2014,438,-0.033018868
31-03-2015,418,0.0456621
30-06-2015,443,-0.059808612
30-09-2015,453,-0.022573363
31-12-2015,498,-0.099337748
31-03-2016,479,0.03815261
30-06-2016,529,-0.104384134
30-09-2016,515,0.026465028
31-12-2016,559,-0.085436893
31-03-2017,614,-0.098389982
30-06-2017,628,-0.022801303
30-09-2017,620,0.012738854
31-12-2017,598,0.035483871
31-03-2018,618,-0.033444816
30-06-2018,624,-0.009708738
30-09-2018,620,0.006410256
31-12-2018,615,0.008064516
31-03-2019,603,0.019512195
30-06-2019,663,-0.099502488
30-09-2019,675,-0.018099548
31-12-2019,736,-0.09037037
31-03-2020,680,0.076086957
30-06-2020,573,0.157352941
30-09-2020,663,-0.157068063
31-12-2020,726,-0.095022624
31-03-2021,620,0.14600551
30-06-2021,672,-0.083870968
30-09-2021,713,-0.061011905
31-12-2021,742,-0.040673212
31-03-2022,692,0.067385445
30-06-2022,700,-0.011560694
30-09-2022,708,-0.011428571
31-12-2022,715,-0.009887006
31-03-2023,658,0.07972028
30-06-2023,720,-0.094224924
30-09-2023,709,0.015277778
31-12-2023,722,-0.018335684
31-03-2024,673,0.067867036
30-06-2024,729,-0.08320951
30-09-2024,762,-0.04526749
31-12-2024,718,0.057742782
31-03-2025,729,-0.015320334
30-06-2025,712,0.023319616
30-09-2025,723,-0.015449438
31-12-2025,720,0.004149378
