Date,Sales,GrowthRate
30-06-2014,79,-0.067567568
30-09-2014,96,-0.215189873
31-12-2014,103,-0.072916667
31-03-2015,71,0.310679612
30-06-2015,92,-0.295774648
30-09-2015,68,0.260869565
31-12-2015,72,-0.058823529
31-03-2016,48,0.333333333
30-06-2016,83,-0.729166667
30-09-2016,80,0.036144578
31-12-2016,72,0.1
31-03-2017,60,0.166666667
30-06-2017,62,-0.033333333
30-09-2017,77,-0.241935484
31-12-2017,58,0.246753247
31-03-2018,44,0.24137931
30-06-2018,78,-0.772727273
30-09-2018,84,-0.076923077
31-12-2018,54,0.357142857
31-03-2019,45,0.166666667
30-06-2019,55,-0.222222222
30-09-2019,83,-0.509090909
31-12-2019,51,0.385542169
31-03-2020,42,0.176470588
30-06-2020,61,-0.452380952
30-09-2020,83,-0.360655738
31-12-2020,42,0.493975904
31-03-2021,19,0.547619048
30-06-2021,21,-0.105263158
30-09-2021,18,0.142857143
31-12-2021,23,-0.277777778
31-03-2022,24,-0.043478261
30-06-2022,20,0.166666667
30-09-2022,28,-0.4
31-12-2022,28,0
31-03-2023,22,0.214285714
30-06-2023,17,0.227272727
30-09-2023,12,0.294117647
31-12-2023,14,-0.166666667
31-03-2024,11,0.214285714
30-06-2024,16,-0.454545455
30-09-2024,3,0.8125
31-12-2024,4,-0.333333333
31-03-2025,48,-11
30-06-2025,75,-0.5625
30-09-2025,67,0.106666667
31-12-2025,56,0.164179104
