Date,Sales,GrowthRate
30-06-2013,110,-0.666666667
30-09-2013,95,0.136363636
31-12-2013,101,-0.063157895
31-03-2014,284,-1.811881188
30-06-2014,321,-0.13028169
30-09-2014,308,0.040498442
31-12-2014,312,-0.012987013
31-03-2015,270,0.134615385
30-06-2015,260,0.037037037
30-09-2015,288,-0.107692308
31-12-2015,286,0.006944444
31-03-2016,264,0.076923077
30-06-2016,261,0.011363636
30-09-2016,259,0.007662835
31-12-2016,264,-0.019305019
31-03-2017,213,0.193181818
30-06-2017,216,-0.014084507
30-09-2017,223,-0.032407407
31-12-2017,240,-0.076233184
31-03-2018,243,-0.0125
30-06-2018,262,-0.0781893
30-09-2018,240,0.083969466
31-12-2018,251,-0.045833333
31-03-2019,232,0.075697211
30-06-2019,235,-0.012931034
30-09-2019,223,0.05106383
31-12-2019,250,-0.121076233
31-03-2020,231,0.076
30-06-2020,212,0.082251082
30-09-2020,210,0.009433962
31-12-2020,221,-0.052380952
31-03-2021,244,-0.104072398
30-06-2021,227,0.069672131
30-09-2021,297,-0.308370044
31-12-2021,254,0.144781145
31-03-2022,209,0.177165354
30-06-2022,239,-0.14354067
30-09-2022,272,-0.138075314
31-12-2022,267,0.018382353
31-03-2023,242,0.093632959
30-06-2023,182,0.247933884
30-09-2023,195,-0.071428571
31-12-2023,209,-0.071794872
31-03-2024,191,0.086124402
30-06-2024,197,-0.031413613
30-09-2024,178,0.096446701
31-12-2024,214,-0.202247191
31-03-2025,195,0.088785047
30-06-2025,187,0.041025641
30-09-2025,177,0.053475936
31-12-2025,190,-0.073446328
