Date,Sales,GrowthRate
30-06-2013,755,-0.02027027
30-09-2013,792,-0.049006623
31-12-2013,819,-0.034090909
31-03-2014,826,-0.008547009
30-06-2014,880,-0.065375303
30-09-2014,883,-0.003409091
31-12-2014,913,-0.033975085
31-03-2015,815,0.107338445
30-06-2015,851,-0.044171779
30-09-2015,848,0.003525264
31-12-2015,915,-0.079009434
31-03-2016,829,0.093989071
30-06-2016,933,-0.125452352
30-09-2016,896,0.03965702
31-12-2016,963,-0.074776786
31-03-2017,1044,-0.08411215
30-06-2017,1077,-0.031609195
30-09-2017,1077,0
31-12-2017,1089,-0.011142061
31-03-2018,1081,0.007346189
30-06-2018,1106,-0.023126735
30-09-2018,1068,0.034358047
31-12-2018,1082,-0.013108614
31-03-2019,1038,0.040665434
30-06-2019,1135,-0.09344894
30-09-2019,1136,-0.000881057
31-12-2019,1088,0.042253521
31-03-2020,1134,-0.042279412
30-06-2020,999,0.119047619
30-09-2020,1153,-0.154154154
31-12-2020,1259,-0.091934085
31-03-2021,1103,0.123907863
30-06-2021,1190,-0.078875793
30-09-2021,1240,-0.042016807
31-12-2021,1288,-0.038709677
31-03-2022,1161,0.098602484
30-06-2022,1203,-0.036175711
30-09-2022,1203,0
31-12-2022,1248,-0.037406484
31-03-2023,1157,0.072916667
30-06-2023,1276,-0.102852204
30-09-2023,1258,0.014106583
31-12-2023,1320,-0.049284579
31-03-2024,1229,0.068939394
30-06-2024,1322,-0.075671277
30-09-2024,1342,-0.015128593
31-12-2024,1314,0.020864382
31-03-2025,1262,0.03957382
30-06-2025,1320,-0.045958796
30-09-2025,1329,-0.006818182
31-12-2025,1388,-0.044394281
