Date,Sales,GrowthRate
30-06-2014,123,-0.118181818
30-09-2014,131,-0.06504065
31-12-2014,146,-0.114503817
31-03-2015,111,0.239726027
30-06-2015,127,-0.144144144
30-09-2015,106,0.165354331
31-12-2015,109,-0.028301887
31-03-2016,92,0.155963303
30-06-2016,124,-0.347826087
30-09-2016,122,0.016129032
31-12-2016,104,0.147540984
31-03-2017,109,-0.048076923
30-06-2017,112,-0.027522936
30-09-2017,124,-0.107142857
31-12-2017,110,0.112903226
31-03-2018,103,0.063636364
30-06-2018,139,-0.349514563
30-09-2018,146,-0.050359712
31-12-2018,121,0.171232877
31-03-2019,107,0.115702479
30-06-2019,122,-0.140186916
30-09-2019,140,-0.147540984
31-12-2019,105,0.25
31-03-2020,115,-0.095238095
30-06-2020,129,-0.12173913
30-09-2020,147,-0.139534884
31-12-2020,117,0.204081633
31-03-2021,27,0.769230769
30-06-2021,27,0
30-09-2021,25,0.074074074
31-12-2021,30,-0.2
31-03-2022,32,-0.066666667
30-06-2022,33,-0.03125
30-09-2022,38,-0.151515152
31-12-2022,37,0.026315789
31-03-2023,27,0.27027027
30-06-2023,22,0.185185185
30-09-2023,17,0.227272727
31-12-2023,18,-0.058823529
31-03-2024,16,0.111111111
30-06-2024,22,-0.375
30-09-2024,17,0.227272727
31-12-2024,12,0.294117647
31-03-2025,78,-5.5
30-06-2025,111,-0.423076923
30-09-2025,101,0.09009009
31-12-2025,91,0.099009901
