Date,Sales,GrowthRate
30-06-2013,193,0.01025641
30-09-2013,182,0.056994819
31-12-2013,199,-0.093406593
31-03-2014,196,0.015075377
30-06-2014,207,-0.056122449
30-09-2014,194,0.062801932
31-12-2014,193,0.005154639
31-03-2015,178,0.077720207
30-06-2015,181,-0.016853933
30-09-2015,171,0.055248619
31-12-2015,180,-0.052631579
31-03-2016,177,0.016666667
30-06-2016,197,-0.11299435
30-09-2016,182,0.076142132
31-12-2016,184,-0.010989011
31-03-2017,180,0.02173913
30-06-2017,193,-0.072222222
30-09-2017,188,0.025906736
31-12-2017,198,-0.053191489
31-03-2018,203,-0.025252525
30-06-2018,204,-0.004926108
30-09-2018,186,0.088235294
31-12-2018,199,-0.069892473
31-03-2019,203,-0.020100503
30-06-2019,210,-0.034482759
30-09-2019,194,0.076190476
31-12-2019,197,-0.015463918
31-03-2020,182,0.076142132
30-06-2020,143,0.214285714
30-09-2020,190,-0.328671329
31-12-2020,197,-0.036842105
31-03-2021,193,0.020304569
30-06-2021,210,-0.088082902
30-09-2021,199,0.052380952
31-12-2021,203,-0.020100503
31-03-2022,195,0.039408867
30-06-2022,199,-0.020512821
30-09-2022,181,0.090452261
31-12-2022,188,-0.038674033
31-03-2023,203,-0.079787234
30-06-2023,209,-0.02955665
30-09-2023,197,0.057416268
31-12-2023,204,-0.035532995
31-03-2024,221,-0.083333333
30-06-2024,225,-0.018099548
30-09-2024,213,0.053333333
31-12-2024,218,-0.023474178
31-03-2025,220,-0.009174312
30-06-2025,235,-0.068181818
30-09-2025,224,0.046808511
31-12-2025,228,-0.017857143
