Date,Sales,GrowthRate
30-06-2013,10,0
30-09-2013,8,0.2
31-12-2013,20,-1.5
31-03-2014,28,-0.4
30-06-2014,27,0.035714286
30-09-2014,22,0.185185185
31-12-2014,27,-0.227272727
31-03-2015,26,0.037037037
30-06-2015,26,0
30-09-2015,23,0.115384615
31-12-2015,27,-0.173913043
31-03-2016,28,-0.037037037
30-06-2016,28,0
30-09-2016,27,0.035714286
31-12-2016,31,-0.148148148
31-03-2017,32,-0.032258065
30-06-2017,33,-0.03125
30-09-2017,37,-0.121212121
31-12-2017,41,-0.108108108
31-03-2018,39,0.048780488
30-06-2018,40,-0.025641026
30-09-2018,39,0.025
31-12-2018,43,-0.102564103
31-03-2019,43,0
30-06-2019,46,-0.069767442
30-09-2019,43,0.065217391
31-12-2019,48,-0.11627907
31-03-2020,43,0.104166667
30-06-2020,30,0.302325581
30-09-2020,43,-0.433333333
31-12-2020,53,-0.23255814
31-03-2021,53,0
30-06-2021,62,-0.169811321
30-09-2021,55,0.112903226
31-12-2021,67,-0.218181818
31-03-2022,68,-0.014925373
30-06-2022,79,-0.161764706
30-09-2022,75,0.050632911
31-12-2022,88,-0.173333333
31-03-2023,91,-0.034090909
30-06-2023,108,-0.186813187
30-09-2023,101,0.064814815
31-12-2023,130,-0.287128713
31-03-2024,143,-0.1
30-06-2024,157,-0.097902098
30-09-2024,160,-0.01910828
31-12-2024,188,-0.175
31-03-2025,219,-0.164893617
30-06-2025,252,-0.150684932
30-09-2025,258,-0.023809524
31-12-2025,285,-0.104651163
