Date,Sales,GrowthRate
30-06-2013,164,-0.064935065
30-09-2013,161,0.018292683
31-12-2013,177,-0.099378882
31-03-2014,161,0.09039548
30-06-2014,170,-0.055900621
30-09-2014,169,0.005882353
31-12-2014,170,-0.00591716
31-03-2015,146,0.141176471
30-06-2015,153,-0.047945205
30-09-2015,151,0.013071895
31-12-2015,159,-0.052980132
31-03-2016,151,0.050314465
30-06-2016,172,-0.139072848
30-09-2016,173,-0.005813953
31-12-2016,175,-0.011560694
31-03-2017,164,0.062857143
30-06-2017,175,-0.067073171
30-09-2017,183,-0.045714286
31-12-2017,203,-0.109289617
31-03-2018,187,0.078817734
30-06-2018,197,-0.053475936
30-09-2018,196,0.005076142
31-12-2018,201,-0.025510204
31-03-2019,187,0.069651741
30-06-2019,200,-0.069518717
30-09-2019,209,-0.045
31-12-2019,218,-0.043062201
31-03-2020,186,0.146788991
30-06-2020,158,0.150537634
30-09-2020,205,-0.297468354
31-12-2020,231,-0.126829268
31-03-2021,219,0.051948052
30-06-2021,235,-0.073059361
30-09-2021,227,0.034042553
31-12-2021,238,-0.04845815
31-03-2022,220,0.075630252
30-06-2022,221,-0.004545455
30-09-2022,217,0.018099548
31-12-2022,222,-0.023041475
31-03-2023,226,-0.018018018
30-06-2023,246,-0.088495575
30-09-2023,247,-0.004065041
31-12-2023,251,-0.016194332
31-03-2024,247,0.015936255
30-06-2024,261,-0.056680162
30-09-2024,261,0
31-12-2024,267,-0.022988506
31-03-2025,253,0.052434457
30-06-2025,281,-0.110671937
30-09-2025,285,-0.014234875
31-12-2025,296,-0.038596491
