Date,Sales,GrowthRate
30-06-2013,324,-0.04516129
30-09-2013,288,0.111111111
31-12-2013,314,-0.090277778
31-03-2014,306,0.025477707
30-06-2014,326,-0.065359477
30-09-2014,310,0.049079755
31-12-2014,322,-0.038709677
31-03-2015,299,0.071428571
30-06-2015,296,0.010033445
30-09-2015,286,0.033783784
31-12-2015,297,-0.038461538
31-03-2016,310,-0.043771044
30-06-2016,327,-0.05483871
30-09-2016,308,0.058103976
31-12-2016,323,-0.048701299
31-03-2017,312,0.034055728
30-06-2017,323,-0.03525641
30-09-2017,318,0.015479876
31-12-2017,343,-0.078616352
31-03-2018,364,-0.06122449
30-06-2018,366,-0.005494505
30-09-2018,332,0.092896175
31-12-2018,374,-0.126506024
31-03-2019,365,0.024064171
30-06-2019,388,-0.063013699
30-09-2019,373,0.038659794
31-12-2019,396,-0.061662198
31-03-2020,336,0.151515152
30-06-2020,306,0.089285714
30-09-2020,331,-0.081699346
31-12-2020,344,-0.039274924
31-03-2021,331,0.037790698
30-06-2021,369,-0.114803625
30-09-2021,341,0.075880759
31-12-2021,390,-0.143695015
31-03-2022,358,0.082051282
30-06-2022,382,-0.067039106
30-09-2022,359,0.060209424
31-12-2022,386,-0.075208914
31-03-2023,408,-0.056994819
30-06-2023,440,-0.078431373
30-09-2023,401,0.088636364
31-12-2023,425,-0.059850374
31-03-2024,457,-0.075294118
30-06-2024,464,-0.015317287
30-09-2024,449,0.032327586
31-12-2024,451,-0.004454343
31-03-2025,465,-0.031042129
30-06-2025,479,-0.030107527
30-09-2025,429,0.104384134
31-12-2025,468.8739982,-0.092946383
