Date,Sales,GrowthRate
30-06-2013,9,-0.285714286
30-09-2013,8,0.111111111
31-12-2013,11,-0.375
31-03-2014,12,-0.090909091
30-06-2014,12,0
30-09-2014,12,0
31-12-2014,15,-0.25
31-03-2015,12,0.2
30-06-2015,12,0
30-09-2015,13,-0.083333333
31-12-2015,15,-0.153846154
31-03-2016,16,-0.066666667
30-06-2016,20,-0.25
30-09-2016,21,-0.05
31-12-2016,24,-0.142857143
31-03-2017,25,-0.041666667
30-06-2017,29,-0.16
30-09-2017,28,0.034482759
31-12-2017,36,-0.285714286
31-03-2018,38,-0.055555556
30-06-2018,42,-0.105263158
30-09-2018,34,0.19047619
31-12-2018,41,-0.205882353
31-03-2019,42,-0.024390244
30-06-2019,44,-0.047619048
30-09-2019,39,0.113636364
31-12-2019,53,-0.358974359
31-03-2020,40,0.245283019
30-06-2020,23,0.425
30-09-2020,41,-0.782608696
31-12-2020,47,-0.146341463
31-03-2021,46,0.021276596
30-06-2021,53,-0.152173913
30-09-2021,46,0.132075472
31-12-2021,51,-0.108695652
31-03-2022,49,0.039215686
30-06-2022,53,-0.081632653
30-09-2022,48,0.094339623
31-12-2022,52,-0.083333333
31-03-2023,62,-0.192307692
30-06-2023,61,0.016129032
30-09-2023,55,0.098360656
31-12-2023,62,-0.127272727
31-03-2024,66,-0.064516129
30-06-2024,68,-0.03030303
30-09-2024,57,0.161764706
31-12-2024,68,-0.192982456
31-03-2025,67,0.014705882
30-06-2025,75,-0.119402985
30-09-2025,63,0.16
31-12-2025,80,-0.26984127
