Date,Sales,GrowthRate
30-06-2013,113,-0.046296296
30-09-2013,110,0.026548673
31-12-2013,116,-0.054545455
31-03-2014,113,0.025862069
30-06-2014,114,-0.008849558
30-09-2014,110,0.035087719
31-12-2014,104,0.054545455
31-03-2015,98,0.057692308
30-06-2015,100,-0.020408163
30-09-2015,99,0.01
31-12-2015,103,-0.04040404
31-03-2016,107,-0.038834951
30-06-2016,119,-0.112149533
30-09-2016,117,0.016806723
31-12-2016,116,0.008547009
31-03-2017,119,-0.025862069
30-06-2017,129,-0.084033613
30-09-2017,127,0.015503876
31-12-2017,131,-0.031496063
31-03-2018,142,-0.083969466
30-06-2018,152,-0.070422535
30-09-2018,142,0.065789474
31-12-2018,143,-0.007042254
31-03-2019,155,-0.083916084
30-06-2019,165,-0.064516129
30-09-2019,163,0.012121212
31-12-2019,168,-0.030674847
31-03-2020,168,0
30-06-2020,151,0.101190476
30-09-2020,179,-0.185430464
31-12-2020,191,-0.067039106
31-03-2021,195,-0.020942408
30-06-2021,213,-0.092307692
30-09-2021,202,0.051643192
31-12-2021,214,-0.059405941
31-03-2022,210,0.018691589
30-06-2022,221,-0.052380952
30-09-2022,210,0.049773756
31-12-2022,209,0.004761905
31-03-2023,229,-0.09569378
30-06-2023,250,-0.091703057
30-09-2023,255,-0.02
31-12-2023,242,0.050980392
31-03-2024,274,-0.132231405
30-06-2024,281,-0.025547445
30-09-2024,285,-0.014234875
31-12-2024,268,0.059649123
31-03-2025,280,-0.044776119
30-06-2025,296,-0.057142857
30-09-2025,297,-0.003378378
31-12-2025,298.1260018,-0.003791252
